"","x"
"1",44
"2",57
"3",85
"4",125
"5",73
"6",74
"7",56
"8",66
"9",80
"10",120
"11",96
"12",66
"13",76
"14",208
"15",182
"16",154
"17",258
"18",429
"19",632
"20",497
"21",411
"22",197
"23",98
"24",40
"25",20
"26",19
"27",14
"28",13
"29",5
"30",6
"31",3
"32",5
"33",4
"34",2
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",45
"55",38
"56",62
"57",37
"58",47
"59",67
"60",68
"61",40
"62",68
"63",71
"64",48
"65",68
"66",70
"67",101
"68",153
"69",203
"70",246
"71",563
"72",553
"73",448
"74",473
"75",431
"76",252
"77",139
"78",128
"79",67
"80",51
"81",26
"82",21
"83",28
"84",9
"85",12
"86",1
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",22
"107",50
"108",30
"109",40
"110",95
"111",69
"112",78
"113",86
"114",136
"115",166
"116",224
"117",244
"118",357
"119",526
"120",485
"121",271
"122",193
"123",143
"124",105
"125",84
"126",66
"127",43
"128",32
"129",49
"130",29
"131",20
"132",18
"133",13
"134",10
"135",12
"136",11
"137",5
"138",3
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",49
"159",65
"160",50
"161",36
"162",44
"163",64
"164",69
"165",54
"166",87
"167",158
"168",87
"169",96
"170",142
"171",218
"172",234
"173",283
"174",446
"175",501
"176",430
"177",319
"178",269
"179",168
"180",107
"181",63
"182",59
"183",46
"184",45
"185",40
"186",35
"187",16
"188",26
"189",27
"190",41
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",93
"211",122
"212",171
"213",196
"214",166
"215",158
"216",104
"217",125
"218",143
"219",152
"220",158
"221",135
"222",164
"223",179
"224",219
"225",220
"226",297
"227",519
"228",509
"229",552
"230",405
"231",304
"232",157
"233",126
"234",115
"235",101
"236",113
"237",79
"238",98
"239",52
"240",27
"241",28
"242",31
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
