"","x"
"1",76
"2",62
"3",46
"4",11
"5",21
"6",32
"7",57
"8",24
"9",17
"10",21
"11",23
"12",46
"13",45
"14",53
"15",63
"16",71
"17",127
"18",103
"19",88
"20",88
"21",74
"22",44
"23",48
"24",44
"25",32
"26",22
"27",21
"28",20
"29",27
"30",12
"31",18
"32",10
"33",14
"34",13
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",14
"55",28
"56",26
"57",38
"58",25
"59",19
"60",20
"61",21
"62",24
"63",22
"64",16
"65",20
"66",23
"67",52
"68",71
"69",53
"70",75
"71",81
"72",114
"73",104
"74",86
"75",59
"76",37
"77",36
"78",36
"79",25
"80",25
"81",17
"82",11
"83",14
"84",3
"85",6
"86",6
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",20
"107",19
"108",18
"109",10
"110",10
"111",14
"112",18
"113",16
"114",28
"115",39
"116",39
"117",56
"118",62
"119",53
"120",50
"121",29
"122",29
"123",24
"124",22
"125",5
"126",5
"127",4
"128",3
"129",0
"130",2
"131",0
"132",1
"133",1
"134",1
"135",0
"136",0
"137",1
"138",0
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",2
"159",23
"160",12
"161",31
"162",26
"163",29
"164",24
"165",14
"166",28
"167",22
"168",41
"169",42
"170",49
"171",32
"172",56
"173",57
"174",64
"175",55
"176",62
"177",24
"178",19
"179",17
"180",25
"181",31
"182",12
"183",7
"184",12
"185",6
"186",8
"187",9
"188",10
"189",11
"190",0
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",15
"211",26
"212",25
"213",16
"214",44
"215",32
"216",17
"217",31
"218",44
"219",49
"220",41
"221",35
"222",26
"223",41
"224",30
"225",51
"226",49
"227",34
"228",73
"229",115
"230",56
"231",41
"232",50
"233",46
"234",47
"235",74
"236",36
"237",13
"238",10
"239",5
"240",0
"241",3
"242",2
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
