"","x"
"1",3
"2",2
"3",1
"4",1
"5",14
"6",20
"7",16
"8",24
"9",1
"10",7
"11",9
"12",11
"13",11
"14",5
"15",6
"16",7
"17",31
"18",37
"19",40
"20",11
"21",5
"22",11
"23",7
"24",12
"25",15
"26",21
"27",9
"28",18
"29",1
"30",2
"31",9
"32",1
"33",1
"34",1
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",23
"55",14
"56",19
"57",0
"58",32
"59",20
"60",16
"61",9
"62",18
"63",12
"64",21
"65",0
"66",5
"67",9
"68",13
"69",37
"70",35
"71",36
"72",27
"73",15
"74",18
"75",17
"76",17
"77",9
"78",12
"79",6
"80",0
"81",7
"82",0
"83",0
"84",13
"85",10
"86",13
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",0
"107",17
"108",20
"109",11
"110",23
"111",30
"112",16
"113",30
"114",28
"115",71
"116",63
"117",89
"118",84
"119",171
"120",74
"121",89
"122",37
"123",59
"124",68
"125",35
"126",26
"127",45
"128",32
"129",36
"130",18
"131",43
"132",41
"133",24
"134",11
"135",15
"136",9
"137",11
"138",0
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",13
"159",10
"160",14
"161",19
"162",16
"163",34
"164",29
"165",39
"166",74
"167",140
"168",90
"169",41
"170",64
"171",89
"172",100
"173",235
"174",291
"175",367
"176",277
"177",168
"178",141
"179",80
"180",62
"181",48
"182",48
"183",45
"184",29
"185",23
"186",27
"187",24
"188",18
"189",17
"190",13
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",81
"211",118
"212",128
"213",176
"214",176
"215",210
"216",164
"217",130
"218",176
"219",189
"220",161
"221",151
"222",169
"223",192
"224",249
"225",347
"226",747
"227",692
"228",400
"229",311
"230",290
"231",237
"232",222
"233",298
"234",215
"235",135
"236",118
"237",63
"238",56
"239",44
"240",34
"241",34
"242",29
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",205
"263",335
"264",293
"265",336
"266",329
"267",369
"268",380
"269",342
"270",322
"271",414
"272",326
"273",396
"274",310
"275",269
"276",281
"277",415
"278",362
"279",378
"280",428
"281",427
"282",339
"283",258
"284",137
"285",215
"286",195
"287",161
"288",158
"289",149
"290",88
"291",78
"292",66
"293",51
"294",98
"295",74
"296",101
"297",62
"298",67
"299",48
"300",33
"301",29
"302",50
"303",36
"304",55
"305",39
"306",39
"307",41
"308",65
"309",54
"310",49
"311",62
"312",65
