"","x"
"1",89
"2",104
"3",186
"4",222
"5",272
"6",282
"7",300
"8",396
"9",341
"10",393
"11",386
"12",254
"13",423
"14",569
"15",547
"16",625
"17",905
"18",1277
"19",1158
"20",895
"21",660
"22",433
"23",249
"24",313
"25",234
"26",158
"27",141
"28",160
"29",95
"30",96
"31",110
"32",97
"33",73
"34",63
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",103
"55",142
"56",141
"57",417
"58",127
"59",147
"60",156
"61",342
"62",255
"63",268
"64",191
"65",156
"66",243
"67",202
"68",344
"69",642
"70",1018
"71",1694
"72",1937
"73",1773
"74",1436
"75",1186
"76",753
"77",590
"78",330
"79",208
"80",116
"81",69
"82",33
"83",40
"84",20
"85",15
"86",26
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",109
"107",109
"108",170
"109",194
"110",189
"111",250
"112",268
"113",291
"114",445
"115",545
"116",1097
"117",1282
"118",1845
"119",1750
"120",1224
"121",773
"122",558
"123",459
"124",455
"125",270
"126",181
"127",203
"128",163
"129",120
"130",110
"131",97
"132",78
"133",73
"134",58
"135",55
"136",60
"137",54
"138",38
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",309
"159",351
"160",421
"161",441
"162",371
"163",566
"164",452
"165",481
"166",569
"167",503
"168",571
"169",582
"170",747
"171",774
"172",912
"173",1224
"174",1719
"175",1683
"176",1520
"177",1146
"178",875
"179",774
"180",667
"181",433
"182",407
"183",293
"184",267
"185",130
"186",138
"187",98
"188",93
"189",83
"190",48
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",314
"211",466
"212",446
"213",542
"214",555
"215",709
"216",615
"217",571
"218",723
"219",644
"220",580
"221",645
"222",601
"223",753
"224",655
"225",752
"226",962
"227",1059
"228",1327
"229",1620
"230",1698
"231",1544
"232",1073
"233",801
"234",760
"235",670
"236",533
"237",365
"238",303
"239",214
"240",158
"241",178
"242",117
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",518
"263",603
"264",596
"265",650
"266",728
"267",786
"268",774
"269",685
"270",587
"271",631
"272",686
"273",659
"274",620
"275",695
"276",737
"277",800
"278",1315
"279",1622
"280",1778
"281",1538
"282",1466
"283",1094
"284",877
"285",656
"286",580
"287",368
"288",379
"289",270
"290",233
"291",222
"292",130
"293",117
"294",141
"295",72
"296",60
"297",60
"298",55
"299",31
"300",46
"301",37
"302",41
"303",25
"304",28
"305",47
"306",50
"307",39
"308",42
"309",49
"310",42
"311",43
"312",49
"313",62
"314",458
"315",494
"316",497
"317",569
"318",526
"319",608
"320",892
"321",1225
"322",1432
"323",2839
"324",5247
"325",5754
"326",4041
"327",2650
"328",1486
"329",1091
"330",920
"331",765
"332",819
"333",705
"334",564
"335",590
"336",505
"337",534
"338",476
"339",491
"340",353
"341",353
"342",383
"343",342
"344",280
"345",325
"346",280
"347",297
"348",278
"349",317
"350",312
"351",268
"352",253
"353",235
"354",235
"355",229
"356",202
"357",189
"358",184
"359",212
"360",214
"361",225
"362",252
"363",256
"364",285
"365",292
"366",266
"367",625
"368",675
"369",683
"370",810
"371",895
"372",906
"373",951
"374",859
"375",953
"376",961
"377",930
"378",843
"379",1277
"380",1470
"381",1621
"382",1919
"383",2648
"384",3656
"385",4340
"386",4391
"387",3714
"388",3001
"389",2350
"390",1979
"391",1465
"392",1304
"393",848
"394",749
"395",679
"396",516
"397",463
"398",477
"399",392
"400",377
"401",398
"402",241
"403",317
"404",323
"405",301
"406",303
