"","x"
"1",243
"2",274
"3",241
"4",214
"5",224
"6",173
"7",298
"8",363
"9",302
"10",282
"11",324
"12",434
"13",495
"14",724
"15",966
"16",946
"17",906
"18",562
"19",579
"20",333
"21",311
"22",261
"23",163
"24",159
"25",115
"26",174
"27",56
"28",50
"29",50
"30",48
"31",48
"32",30
"33",49
"34",48
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",131
"55",109
"56",155
"57",143
"58",217
"59",209
"60",221
"61",217
"62",207
"63",180
"64",243
"65",305
"66",431
"67",612
"68",549
"69",903
"70",827
"71",732
"72",681
"73",433
"74",543
"75",556
"76",526
"77",306
"78",462
"79",305
"80",184
"81",75
"82",49
"83",172
"84",31
"85",124
"86",127
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",166
"107",167
"108",233
"109",264
"110",427
"111",437
"112",401
"113",603
"114",575
"115",763
"116",746
"117",828
"118",931
"119",891
"120",694
"121",695
"122",567
"123",566
"124",597
"125",570
"126",543
"127",522
"128",442
"129",372
"130",411
"131",367
"132",246
"133",192
"134",36
"135",34
"136",28
"137",15
"138",37
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",129
"159",128
"160",115
"161",145
"162",421
"163",410
"164",409
"165",517
"166",616
"167",717
"168",756
"169",669
"170",1123
"171",1106
"172",1159
"173",1028
"174",1002
"175",909
"176",843
"177",632
"178",506
"179",478
"180",363
"181",334
"182",315
"183",380
"184",246
"185",247
"186",281
"187",202
"188",180
"189",125
"190",36
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",367
"211",361
"212",492
"213",508
"214",469
"215",403
"216",804
"217",633
"218",655
"219",510
"220",568
"221",555
"222",591
"223",631
"224",658
"225",638
"226",722
"227",846
"228",906
"229",1031
"230",1144
"231",899
"232",839
"233",660
"234",561
"235",616
"236",319
"237",244
"238",237
"239",228
"240",225
"241",191
"242",202
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",345
"263",393
"264",291
"265",441
"266",458
"267",562
"268",576
"269",530
"270",486
"271",541
"272",385
"273",440
"274",441
"275",436
"276",711
"277",693
"278",590
"279",609
"280",944
"281",976
"282",1140
"283",1109
"284",808
"285",847
"286",545
"287",437
"288",339
"289",519
"290",275
"291",235
"292",204
"293",175
"294",180
"295",170
"296",138
"297",138
"298",112
"299",78
"300",115
"301",89
"302",107
"303",69
"304",74
"305",77
"306",86
"307",95
"308",104
"309",101
"310",132
"311",109
"312",115
"313",110
"314",556
"315",454
"316",430
"317",450
"318",518
"319",564
"320",944
"321",1341
"322",1707
"323",2517
"324",2547
"325",2217
"326",1588
"327",1167
"328",659
"329",665
"330",688
"331",553
"332",682
"333",518
"334",611
"335",432
"336",421
"337",387
"338",397
"339",352
"340",274
"341",264
"342",253
"343",211
"344",191
"345",223
"346",240
"347",222
"348",115
"349",148
"350",103
"351",117
"352",91
"353",84
"354",90
"355",75
"356",81
"357",84
"358",78
"359",80
"360",70
"361",83
"362",91
"363",107
"364",145
"365",136
"366",140
"367",354
"368",402
"369",324
"370",493
"371",568
"372",620
"373",752
"374",712
"375",584
"376",624
"377",682
"378",822
"379",1101
"380",1066
"381",1324
"382",1295
"383",1644
"384",1753
"385",1862
"386",2157
"387",1794
"388",1419
"389",1533
"390",1338
"391",1249
"392",986
"393",890
"394",1034
"395",765
"396",816
"397",587
"398",652
"399",615
"400",464
"401",440
"402",393
"403",306
"404",409
"405",294
"406",243
"407",219
"408",158
"409",120
"410",124
"411",102
"412",134
"413",155
"414",143
"415",152
"416",118
"417",160
"418",158
"419",509
"420",534
"421",635
"422",682
"423",946
"424",822
"425",891
"426",907
"427",1094
"428",1526
"429",2116
"430",2518
"431",1864
"432",1472
"433",951
"434",819
"435",1008
"436",1037
"437",813
"438",978
"439",942
"440",831
"441",1050
"442",1076
"443",1120
"444",1003
"445",934
"446",776
"447",514
"448",505
"449",493
"450",429
"451",355
"452",304
"453",179
"454",222
"455",229
"456",184
"457",245
"458",196
"459",223
"460",153
"461",163
"462",133
"463",158
"464",148
"465",159
"466",126
"467",203
"468",261
"469",306
"470",265
"471",557
"472",642
"473",639
"474",651
"475",801
"476",768
"477",738
"478",743
"479",868
"480",972
"481",1062
"482",1055
"483",995
"484",1102
"485",1095
"486",1241
"487",1703
"488",1912
"489",2242
"490",1844
"491",1708
"492",1395
"493",1391
"494",1203
"495",980
"496",818
"497",689
"498",776
"499",625
"500",560
"501",517
"502",477
"503",395
"504",335
"505",296
"506",290
"507",295
"508",264
"509",259
"510",169
"511",172
"512",149
"513",173
"514",176
"515",188
"516",171
"517",248
"518",243
"519",282
"520",300
"521",289
"522",358
"523",495
"524",696
"525",718
"526",776
"527",684
"528",755
"529",640
"530",710
"531",770
"532",741
"533",932
"534",954
"535",1051
"536",1226
"537",1485
"538",1623
"539",2152
"540",2439
"541",2816
"542",3181
"543",2524
"544",2003
"545",1522
"546",1397
"547",1045
"548",920
"549",675
"550",529
"551",518
"552",503
"553",401
"554",379
"555",403
"556",245
"557",196
"558",159
"559",175
"560",193
"561",189
"562",172
"563",207
"564",183
"565",187
"566",162
"567",160
"568",203
"569",185
"570",169
"571",186
"572",204
"573",211
"574",259
"575",544
"576",604
"577",642
"578",639
"579",519
"580",550
"581",605
"582",611
"583",575
"584",648
"585",642
"586",709
"587",655
"588",976
"589",1079
"590",1133
"591",1166
"592",1425
"593",1591
"594",1667
"595",1722
"596",1805
"597",1672
"598",1437
"599",1233
"600",1154
"601",1183
"602",1033
"603",888
"604",1071
"605",3003
"606",1785
"607",1243
"608",1211
"609",1071
"610",877
"611",756
"612",727
"613",759
"614",741
"615",809
"616",859
"617",757
"618",758
"619",789
"620",728
"621",828
"622",940
"623",1397
"624",1497
"625",1743
"626",1810
"627",2331
"628",4698
"629",5882
"630",4404
"631",4648
"632",4260
"633",3382
"634",3488
"635",2870
"636",2877
"637",2451
"638",2069
"639",1521
"640",1810
"641",1721
"642",1776
"643",1582
"644",2046
"645",2162
"646",2246
"647",1567
"648",2257
"649",2137
"650",1858
"651",1763
"652",1495
"653",1665
"654",1302
"655",1397
"656",1208
"657",1265
"658",1186
"659",1269
"660",1250
"661",1070
"662",1022
"663",823
"664",758
"665",784
"666",695
"667",656
"668",669
"669",582
"670",557
"671",642
"672",569
"673",626
"674",395
"675",619
"676",447
"677",742
"678",1032
"679",943
"680",999
"681",1144
"682",1191
"683",1167
"684",1430
"685",1239
"686",1621
"687",1407
"688",1669
"689",2025
"690",2139
"691",2025
"692",1916
"693",2237
"694",2460
"695",2649
"696",3364
"697",3267
"698",3593
"699",3687
"700",3306
"701",3090
"702",2976
"703",2545
"704",1901
"705",1910
"706",1624
"707",1456
"708",1399
"709",1322
"710",1196
"711",1096
"712",907
"713",794
"714",747
"715",769
"716",610
"717",592
"718",567
"719",479
"720",533
"721",450
"722",424
"723",222
"724",402
"725",420
"726",525
"727",557
"728",460
"729",602
"730",604
"731",667
"732",877
"733",1000
"734",1147
"735",1196
"736",1312
"737",1190
"738",1467
"739",988
"740",981
"741",1307
"742",1379
"743",1230
"744",1147
"745",1291
"746",1357
"747",1346
"748",1719
"749",1961
"750",1913
"751",2073
"752",2036
"753",2030
"754",1533
"755",1793
"756",1637
"757",2075
"758",1779
"759",1396
"760",1127
"761",1304
"762",1315
"763",1278
"764",1183
"765",1167
"766",981
"767",890
"768",796
"769",855
"770",707
"771",614
"772",594
"773",626
"774",668
"775",710
"776",755
"777",529
"778",816
"779",953
"780",875
"781",1038
"782",1034
"783",988
"784",1142
"785",1167
"786",1310
"787",1267
"788",1297
"789",1413
"790",1364
"791",1108
"792",1481
"793",1509
"794",1667
"795",1808
"796",1755
"797",1852
"798",2651
"799",3703
"800",4245
"801",4001
"802",3282
"803",2929
"804",2329
"805",2087
"806",2004
"807",1695
"808",1388
"809",1196
"810",1022
"811",1013
"812",852
"813",884
"814",857
"815",768
"816",776
"817",656
"818",562
"819",628
"820",578
"821",565
"822",492
"823",394
"824",407
"825",414
"826",444
"827",406
"828",419
"829",430
"830",390
"831",537
"832",486
"833",583
"834",576
"835",644
"836",968
"837",1195
"838",1146
"839",1157
"840",1295
"841",1520
"842",1383
"843",1471
"844",1219
"845",1610
"846",1767
"847",2123
"848",2149
"849",2531
"850",3124
"851",3290
"852",3325
"853",3208
"854",2787
"855",2425
"856",2057
"857",2056
"858",1745
"859",1403
"860",1370
"861",1122
"862",1038
"863",1051
"864",1030
"865",924
"866",955
"867",939
"868",963
"869",830
"870",716
"871",666
"872",620
"873",507
"874",436
"875",211
"876",131
