"","x"
"1",5
"2",6
"3",6
"4",7
"5",11
"6",11
"7",14
"8",17
"9",13
"10",16
"11",17
"12",10
"13",26
"14",48
"15",57
"16",44
"17",32
"18",29
"19",49
"20",45
"21",35
"22",29
"23",16
"24",16
"25",8
"26",3
"27",1
"28",0
"29",2
"30",2
"31",0
"32",0
"33",0
"34",0
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",2
"55",6
"56",46
"57",17
"58",88
"59",45
"60",73
"61",59
"62",60
"63",58
"64",71
"65",51
"66",162
"67",151
"68",338
"69",344
"70",374
"71",364
"72",316
"73",378
"74",362
"75",274
"76",178
"77",128
"78",84
"79",63
"80",24
"81",10
"82",6
"83",9
"84",1
"85",2
"86",0
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",8
"107",68
"108",44
"109",44
"110",123
"111",114
"112",148
"113",211
"114",367
"115",369
"116",401
"117",551
"118",693
"119",686
"120",433
"121",212
"122",135
"123",114
"124",61
"125",47
"126",14
"127",20
"128",11
"129",17
"130",12
"131",5
"132",15
"133",2
"134",5
"135",5
"136",5
"137",3
"138",2
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",8
"159",17
"160",39
"161",46
"162",37
"163",42
"164",32
"165",33
"166",73
"167",97
"168",174
"169",275
"170",446
"171",625
"172",473
"173",442
"174",470
"175",250
"176",141
"177",145
"178",100
"179",87
"180",27
"181",27
"182",6
"183",14
"184",6
"185",20
"186",12
"187",2
"188",0
"189",20
"190",2
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",17
"211",23
"212",33
"213",32
"214",36
"215",44
"216",44
"217",8
"218",34
"219",43
"220",25
"221",71
"222",48
"223",15
"224",39
"225",146
"226",130
"227",249
"228",183
"229",229
"230",213
"231",206
"232",117
"233",114
"234",42
"235",14
"236",18
"237",49
"238",3
"239",0
"240",0
"241",0
"242",0
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",13
"263",19
"264",31
"265",46
"266",81
"267",121
"268",88
"269",130
"270",94
"271",106
"272",211
"273",407
"274",143
"275",151
"276",256
"277",259
"278",523
"279",394
"280",309
"281",388
"282",131
"283",130
"284",191
"285",110
"286",71
"287",53
"288",51
"289",47
"290",43
"291",29
"292",23
"293",15
"294",7
"295",17
"296",16
"297",13
"298",11
"299",8
"300",18
"301",6
"302",8
"303",11
"304",9
"305",3
"306",13
"307",14
"308",11
"309",13
"310",16
"311",18
"312",16
"313",25
"314",76
"315",128
"316",162
"317",358
"318",720
"319",1360
"320",1419
"321",1316
"322",952
"323",1715
"324",1420
"325",1021
"326",589
"327",472
"328",329
"329",305
"330",229
"331",259
"332",167
"333",140
"334",130
"335",91
