"","x"
"1",32
"2",42
"3",46
"4",32
"5",22
"6",2
"7",51
"8",53
"9",43
"10",46
"11",55
"12",50
"13",69
"14",102
"15",151
"16",175
"17",170
"18",133
"19",127
"20",122
"21",110
"22",67
"23",60
"24",56
"25",49
"26",45
"27",44
"28",39
"29",29
"30",42
"31",18
"32",17
"33",19
"34",21
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",48
"55",49
"56",60
"57",64
"58",123
"59",106
"60",100
"61",166
"62",128
"63",130
"64",110
"65",115
"66",104
"67",112
"68",215
"69",283
"70",327
"71",306
"72",515
"73",353
"74",382
"75",323
"76",277
"77",295
"78",195
"79",114
"80",82
"81",74
"82",60
"83",60
"84",51
"85",73
"86",62
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",73
"107",74
"108",82
"109",56
"110",80
"111",77
"112",82
"113",47
"114",78
"115",93
"116",130
"117",207
"118",266
"119",471
"120",398
"121",279
"122",258
"123",182
"124",146
"125",127
"126",121
"127",103
"128",112
"129",91
"130",86
"131",88
"132",92
"133",50
"134",52
"135",37
"136",44
"137",42
"138",34
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",14
"159",43
"160",68
"161",99
"162",86
"163",87
"164",171
"165",232
"166",160
"167",143
"168",134
"169",152
"170",153
"171",222
"172",244
"173",347
"174",351
"175",465
"176",424
"177",371
"178",278
"179",164
"180",160
"181",114
"182",113
"183",101
"184",82
"185",71
"186",77
"187",66
"188",71
"189",69
"190",30
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
