"","x"
"1",5
"2",9
"3",3
"4",8
"5",8
"6",7
"7",47
"8",63
"9",16
"10",113
"11",26
"12",25
"13",50
"14",40
"15",38
"16",144
"17",229
"18",218
"19",178
"20",120
"21",64
"22",64
"23",60
"24",32
"25",27
"26",0
"27",23
"28",25
"29",13
"30",18
"31",7
"32",2
"33",0
"34",0
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",42
"55",55
"56",118
"57",110
"58",144
"59",125
"60",212
"61",105
"62",95
"63",106
"64",99
"65",115
"66",105
"67",185
"68",247
"69",514
"70",676
"71",612
"72",550
"73",415
"74",333
"75",315
"76",243
"77",153
"78",124
"79",97
"80",37
"81",36
"82",16
"83",13
"84",14
"85",9
"86",4
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",92
"107",103
"108",66
"109",104
"110",92
"111",82
"112",161
"113",122
"114",227
"115",481
"116",523
"117",733
"118",831
"119",761
"120",431
"121",272
"122",178
"123",200
"124",155
"125",108
"126",68
"127",112
"128",46
"129",32
"130",38
"131",32
"132",36
"133",30
"134",6
"135",23
"136",0
"137",11
"138",0
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",3
"159",58
"160",71
"161",53
"162",79
"163",97
"164",172
"165",176
"166",190
"167",135
"168",170
"169",176
"170",341
"171",353
"172",545
"173",710
"174",705
"175",622
"176",574
"177",480
"178",392
"179",145
"180",246
"181",97
"182",120
"183",31
"184",38
"185",12
"186",35
"187",21
"188",29
"189",16
"190",0
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",19
"211",82
"212",76
"213",88
"214",53
"215",74
"216",84
"217",82
"218",117
"219",161
"220",146
"221",163
"222",142
"223",183
"224",263
"225",405
"226",416
"227",537
"228",517
"229",334
"230",282
"231",246
"232",171
"233",164
"234",42
"235",46
"236",50
"237",32
"238",30
"239",17
"240",23
"241",26
"242",27
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",120
"263",103
"264",118
"265",168
"266",225
"267",174
"268",184
"269",205
"270",218
"271",224
"272",258
"273",299
"274",222
"275",229
"276",316
"277",306
"278",436
"279",721
"280",759
"281",894
"282",937
"283",770
"284",692
"285",540
"286",375
"287",324
"288",251
"289",207
"290",121
"291",84
"292",54
"293",20
"294",13
"295",3
"296",3
"297",3
"298",0
"299",1
"300",0
"301",4
"302",0
"303",0
"304",1
"305",3
"306",0
"307",1
"308",0
"309",2
"310",1
"311",2
"312",1
"313",1
"314",123
"315",255
"316",306
"317",197
"318",371
"319",513
"320",1591
"321",2928
"322",2938
"323",3201
"324",2367
"325",1475
"326",881
"327",690
"328",512
"329",347
"330",450
"331",405
"332",389
"333",329
"334",286
"335",186
"336",224
"337",172
"338",166
"339",152
"340",96
"341",96
"342",89
"343",66
"344",14
"345",12
"346",12
"347",3
"348",51
"349",67
"350",46
"351",37
"352",47
"353",50
"354",37
"355",35
"356",37
"357",45
"358",42
"359",51
"360",39
"361",37
"362",28
"363",61
"364",68
"365",60
"366",51
"367",167
"368",200
"369",289
"370",317
"371",379
"372",433
"373",309
"374",289
"375",264
"376",334
"377",363
"378",266
"379",377
"380",668
"381",765
"382",839
"383",1069
"384",1261
"385",1364
"386",1444
"387",1174
"388",965
"389",671
"390",583
"391",568
"392",462
"393",388
"394",368
"395",243
"396",226
"397",174
"398",186
"399",161
"400",107
"401",105
"402",128
"403",121
"404",81
"405",3
"406",8
"407",5
"408",8
"409",13
"410",5
"411",4
"412",6
"413",5
"414",6
"415",8
"416",9
"417",12
"418",15
"419",585
"420",163
"421",267
"422",236
"423",254
"424",268
"425",297
"426",192
"427",403
"428",388
"429",752
"430",901
"431",942
"432",637
"433",533
"434",474
"435",505
"436",579
"437",588
"438",599
"439",694
"440",746
"441",767
"442",609
"443",612
"444",445
"445",324
"446",266
"447",142
"448",122
"449",120
"450",69
"451",100
"452",60
"453",58
