"","x"
"1",46
"2",44
"3",54
"4",17
"5",43
"6",45
"7",62
"8",65
"9",60
"10",76
"11",110
"12",86
"13",304
"14",133
"15",333
"16",325
"17",246
"18",331
"19",208
"20",320
"21",195
"22",110
"23",77
"24",56
"25",58
"26",40
"27",36
"28",29
"29",20
"30",29
"31",40
"32",36
"33",15
"34",14
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",50
"55",108
"56",80
"57",145
"58",148
"59",208
"60",212
"61",193
"62",224
"63",219
"64",190
"65",168
"66",190
"67",251
"68",371
"69",622
"70",649
"71",722
"72",602
"73",533
"74",537
"75",506
"76",460
"77",235
"78",229
"79",120
"80",77
"81",45
"82",44
"83",29
"84",16
"85",19
"86",19
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",246
"107",320
"108",348
"109",287
"110",432
"111",405
"112",457
"113",375
"114",451
"115",555
"116",639
"117",810
"118",1209
"119",1512
"120",1268
"121",965
"122",767
"123",600
"124",495
"125",307
"126",246
"127",293
"128",210
"129",172
"130",166
"131",151
"132",106
"133",115
"134",143
"135",131
"136",143
"137",67
"138",80
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",417
"159",419
"160",674
"161",779
"162",733
"163",775
"164",960
"165",764
"166",989
"167",1046
"168",1252
"169",1239
"170",982
"171",1285
"172",1586
"173",2019
"174",2395
"175",2058
"176",1890
"177",1358
"178",1099
"179",527
"180",766
"181",719
"182",712
"183",611
"184",463
"185",352
"186",341
"187",290
"188",273
"189",268
"190",265
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",230
"211",316
"212",334
"213",355
"214",561
"215",417
"216",415
"217",277
"218",437
"219",302
"220",273
"221",282
"222",309
"223",319
"224",500
"225",795
"226",881
"227",916
"228",956
"229",946
"230",1029
"231",980
"232",489
"233",359
"234",289
"235",187
"236",200
"237",87
"238",89
"239",110
"240",49
"241",84
"242",44
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",499
"263",516
"264",493
"265",568
"266",664
"267",702
"268",644
"269",675
"270",573
"271",622
"272",590
"273",682
"274",638
"275",944
"276",841
"277",1010
"278",1462
"279",2205
"280",2144
"281",2045
"282",2052
"283",1202
"284",998
"285",726
"286",716
"287",676
"288",518
"289",572
"290",419
"291",479
"292",341
"293",361
"294",162
"295",261
"296",168
"297",170
"298",229
"299",146
"300",112
"301",62
"302",119
"303",146
"304",178
"305",107
"306",154
"307",142
"308",147
"309",143
"310",178
"311",111
"312",59
"313",92
"314",744
"315",988
"316",1038
"317",1239
"318",1556
"319",1720
"320",2108
"321",2385
"322",2420
"323",5032
"324",7102
"325",7246
"326",4849
"327",3113
"328",2418
"329",1688
"330",1447
"331",1487
"332",1305
"333",1143
"334",1161
"335",784
"336",789
"337",668
"338",716
"339",577
"340",462
"341",508
"342",469
"343",483
"344",412
"345",401
"346",395
"347",321
"348",349
"349",338
"350",267
"351",250
"352",232
"353",225
"354",232
"355",269
"356",235
"357",271
"358",217
"359",232
"360",296
"361",297
"362",326
"363",318
"364",298
"365",302
"366",307
"367",902
"368",1103
"369",1249
"370",1170
"371",1113
"372",1284
"373",1425
"374",1286
"375",1638
"376",1453
"377",1635
"378",1386
"379",1536
"380",1533
"381",1489
"382",1950
"383",2934
"384",3724
"385",5163
"386",5177
"387",4825
"388",3971
"389",3600
"390",2732
"391",2352
"392",1708
"393",1313
"394",1042
"395",969
"396",1024
"397",811
"398",782
"399",735
"400",594
"401",607
"402",486
"403",479
"404",462
"405",414
"406",364
"407",303
"408",272
"409",304
"410",292
"411",327
"412",331
"413",200
"414",208
"415",193
"416",148
"417",169
"418",212
"419",602
"420",864
"421",1074
"422",1088
"423",1198
"424",1227
"425",1289
"426",1216
"427",1370
"428",1602
"429",1676
"430",1723
"431",2014
"432",2057
"433",2017
"434",2033
"435",2445
"436",2795
"437",3282
"438",3652
"439",3804
"440",3426
"441",2693
"442",2225
"443",1519
"444",1473
"445",1133
"446",764
"447",671
"448",691
"449",626
"450",572
"451",626
"452",554
"453",452
"454",401
"455",355
"456",308
"457",288
"458",248
"459",319
"460",313
"461",310
"462",241
"463",192
"464",185
"465",234
"466",220
"467",279
"468",277
"469",290
"470",242
"471",987
"472",1037
"473",1123
"474",1266
"475",1474
"476",1712
"477",1963
"478",1811
"479",2330
"480",2702
"481",4130
"482",3769
"483",2453
"484",2021
"485",1839
"486",1776
"487",2389
"488",2623
"489",3335
"490",3391
"491",3504
"492",2735
"493",2299
"494",1742
"495",1499
"496",1055
"497",813
"498",973
"499",867
"500",781
"501",607
"502",503
"503",402
"504",383
"505",386
"506",262
"507",241
"508",169
"509",194
"510",205
"511",239
"512",172
"513",264
"514",163
"515",217
"516",235
"517",259
"518",292
"519",318
"520",226
"521",174
"522",142
"523",1404
"524",1509
"525",1618
"526",1615
"527",1766
"528",2006
"529",2534
"530",2229
"531",2194
"532",2082
"533",2093
"534",2094
"535",1959
"536",1998
"537",2062
"538",2568
"539",3834
"540",6558
"541",9549
"542",8406
"543",8484
"544",6495
"545",4575
"546",3705
"547",2793
"548",2134
"549",1775
"550",1492
"551",1234
"552",1161
"553",962
"554",826
"555",856
"556",806
"557",676
"558",529
"559",495
"560",445
"561",460
"562",412
"563",422
"564",341
"565",402
"566",384
"567",382
"568",547
"569",501
"570",757
"571",580
"572",562
"573",856
"574",771
"575",1526
"576",1688
"577",1553
"578",1876
"579",2289
"580",2134
"581",2482
"582",2438
"583",2275
"584",2518
"585",2625
"586",2450
"587",2446
"588",2445
"589",2195
"590",2278
"591",2905
"592",3809
"593",5082
"594",6356
"595",5125
"596",5550
"597",4896
"598",4208
"599",3118
"600",2587
"601",2028
"602",1720
"603",1693
"604",1692
"605",3520
"606",3152
"607",1748
"608",1459
"609",1336
"610",1103
"611",1102
"612",1223
"613",1471
"614",1576
"615",1268
"616",1471
"617",1566
"618",1576
"619",1524
"620",1804
"621",3436
"622",6159
"623",10272
"624",9906
"625",9923
"626",8539
"627",8446
"628",11213
"629",10352
"630",9814
"631",9640
"632",8489
"633",7048
"634",6212
"635",4517
"636",4754
"637",4170
"638",3880
"639",3452
"640",3414
"641",3052
"642",3124
"643",3525
"644",3459
"645",3728
"646",3651
"647",3846
"648",4307
"649",3558
"650",4068
"651",3277
"652",2897
"653",2525
"654",2050
"655",2002
"656",1875
"657",1800
"658",1707
"659",1746
"660",1697
"661",1493
"662",1491
"663",1328
"664",1158
"665",1135
"666",1070
"667",1017
"668",845
"669",837
"670",837
"671",874
"672",1009
"673",1090
"674",1335
"675",1365
"676",1466
"677",1137
"678",1441
"679",1383
"680",1830
"681",2008
"682",2059
"683",2208
"684",2567
"685",3030
"686",3832
"687",3537
"688",3522
"689",4034
"690",6018
"691",6596
"692",6147
"693",5506
"694",4962
"695",6652
"696",8480
"697",9072
"698",8788
"699",8188
"700",6697
"701",4467
"702",3443
"703",2968
"704",2490
"705",2302
"706",2009
"707",1775
"708",1606
"709",1516
"710",1399
"711",1331
"712",1273
"713",1124
"714",1215
"715",1009
"716",848
"717",763
"718",698
"719",757
"720",684
"721",686
"722",629
"723",570
"724",719
"725",900
"726",1078
"727",1052
"728",1145
"729",1373
"730",1258
"731",1463
"732",1748
"733",1805
"734",1791
"735",1791
"736",2020
"737",2233
"738",2010
"739",1934
"740",1911
"741",2003
"742",2129
"743",2270
"744",2424
"745",2067
"746",2229
"747",2347
"748",2612
"749",2872
"750",3013
"751",3137
"752",2901
"753",2996
"754",3056
"755",3040
"756",2593
"757",2207
"758",1983
"759",1764
"760",1730
"761",1566
"762",1397
"763",1407
"764",1393
"765",1568
"766",1502
"767",1315
"768",1116
"769",950
"770",918
"771",925
"772",804
"773",704
"774",885
"775",852
"776",816
"777",999
"778",1215
"779",1198
"780",1119
"781",1096
"782",1151
"783",1217
"784",1549
"785",1682
"786",1690
"787",1842
"788",1987
"789",2517
"790",3048
"791",3539
"792",4492
"793",7234
"794",7345
"795",6660
"796",6746
"797",5301
"798",5575
"799",4835
"800",3759
"801",3910
"802",3466
"803",3293
"804",3135
"805",3010
"806",3299
"807",3125
"808",2740
"809",2440
"810",2092
"811",1686
"812",1313
"813",1100
"814",868
"815",891
"816",873
"817",828
"818",702
"819",520
"820",583
"821",499
"822",490
"823",461
"824",399
"825",397
"826",469
"827",442
"828",458
"829",507
"830",736
"831",823
"832",832
"833",921
"834",848
"835",1040
"836",1466
"837",1565
"838",1714
"839",2108
"840",2221
"841",2591
"842",2596
"843",2933
"844",2650
"845",4050
"846",3778
"847",4636
"848",4291
"849",4765
"850",4233
"851",4294
"852",3732
"853",3220
"854",2893
"855",2176
"856",1962
"857",1847
"858",1628
"859",1197
"860",1268
"861",1211
"862",1093
"863",1012
"864",982
"865",906
"866",849
"867",807
"868",646
"869",661
"870",626
"871",659
"872",497
"873",439
"874",365
"875",404
"876",225
