"","x"
"1",27
"2",15
"3",13
"4",16
"5",12
"6",9
"7",31
"8",29
"9",13
"10",24
"11",37
"12",22
"13",20
"14",64
"15",72
"16",122
"17",222
"18",318
"19",295
"20",186
"21",83
"22",73
"23",49
"24",20
"25",27
"26",4
"27",13
"28",14
"29",20
"30",10
"31",13
"32",11
"33",11
"34",3
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",32
"55",56
"56",76
"57",115
"58",83
"59",76
"60",100
"61",56
"62",97
"63",136
"64",152
"65",66
"66",90
"67",105
"68",106
"69",263
"70",318
"71",560
"72",473
"73",468
"74",316
"75",243
"76",179
"77",179
"78",96
"79",86
"80",36
"81",37
"82",31
"83",34
"84",22
"85",22
"86",25
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",55
"107",70
"108",56
"109",79
"110",99
"111",92
"112",72
"113",52
"114",149
"115",182
"116",346
"117",368
"118",568
"119",451
"120",413
"121",272
"122",179
"123",131
"124",119
"125",115
"126",55
"127",40
"128",37
"129",45
"130",45
"131",34
"132",33
"133",22
"134",25
"135",35
"136",24
"137",30
"138",25
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",97
"159",120
"160",97
"161",132
"162",57
"163",125
"164",131
"165",107
"166",68
"167",136
"168",119
"169",89
"170",105
"171",92
"172",235
"173",372
"174",465
"175",377
"176",315
"177",189
"178",244
"179",166
"180",139
"181",77
"182",87
"183",62
"184",68
"185",49
"186",43
"187",43
"188",34
"189",35
"190",35
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",145
"211",116
"212",110
"213",128
"214",156
"215",125
"216",125
"217",107
"218",117
"219",99
"220",98
"221",96
"222",77
"223",71
"224",120
"225",122
"226",269
"227",325
"228",400
"229",469
"230",356
"231",296
"232",262
"233",157
"234",129
"235",81
"236",110
"237",91
"238",87
"239",71
"240",66
"241",57
"242",65
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",111
"263",89
"264",106
"265",107
"266",128
"267",165
"268",147
"269",109
"270",86
"271",166
"272",148
"273",208
"274",194
"275",229
"276",213
"277",286
"278",434
"279",476
"280",362
"281",232
"282",201
"283",229
"284",138
"285",129
"286",110
"287",101
"288",89
"289",82
"290",83
"291",83
"292",84
"293",60
"294",82
"295",33
"296",55
"297",34
"298",29
"299",23
"300",22
"301",18
"302",25
"303",23
"304",16
"305",22
"306",20
"307",17
"308",20
"309",22
"310",20
"311",46
"312",55
"313",40
"314",94
"315",154
"316",114
"317",143
"318",180
"319",156
"320",235
"321",238
"322",489
"323",879
"324",1861
"325",1180
"326",798
"327",422
"328",219
"329",145
"330",155
"331",139
"332",114
"333",138
"334",128
"335",117
"336",106
"337",122
"338",59
"339",76
"340",38
"341",44
"342",43
"343",25
"344",35
"345",63
"346",42
"347",34
"348",31
"349",13
"350",73
"351",17
"352",31
"353",25
"354",12
"355",26
"356",22
"357",20
"358",33
"359",28
"360",32
"361",33
"362",35
"363",34
"364",40
"365",36
"366",60
"367",86
"368",82
"369",118
"370",104
"371",147
"372",149
"373",143
"374",112
"375",130
"376",144
"377",170
"378",192
"379",179
"380",202
"381",237
"382",410
"383",571
"384",834
"385",978
"386",689
"387",532
"388",391
"389",260
"390",232
"391",159
"392",104
"393",77
"394",27
"395",29
"396",10
"397",43
"398",19
"399",12
"400",4
"401",7
"402",0
"403",0
"404",0
"405",4
"406",2
"407",0
"408",5
"409",3
"410",1
"411",0
"412",2
"413",3
"414",5
"415",2
"416",4
"417",17
"418",8
"419",65
"420",39
"421",50
"422",74
"423",61
"424",66
"425",79
"426",71
"427",101
"428",62
"429",74
"430",117
"431",149
"432",130
"433",220
"434",296
"435",392
"436",436
"437",473
"438",435
"439",479
"440",354
"441",270
"442",152
"443",135
"444",101
"445",55
"446",48
"447",30
"448",28
"449",31
"450",43
"451",25
"452",25
"453",28
"454",25
"455",20
"456",23
"457",23
"458",17
"459",17
"460",19
"461",26
"462",27
"463",22
"464",22
"465",25
"466",27
"467",28
"468",20
"469",24
"470",30
"471",89
"472",86
"473",138
"474",149
"475",155
"476",154
"477",157
"478",132
"479",220
"480",262
"481",296
"482",378
"483",375
"484",335
"485",318
"486",346
"487",536
"488",678
"489",672
"490",575
"491",572
"492",344
"493",272
"494",266
"495",149
"496",103
"497",93
"498",99
"499",95
"500",83
"501",65
"502",84
"503",63
"504",20
"505",20
"506",14
"507",10
"508",12
"509",13
"510",14
"511",11
"512",18
"513",14
"514",10
"515",14
"516",13
"517",11
"518",15
"519",17
"520",30
"521",25
"522",18
"523",72
"524",48
"525",101
"526",116
"527",165
"528",103
"529",101
"530",104
"531",120
"532",175
"533",174
"534",113
"535",156
"536",181
"537",235
"538",267
"539",416
"540",818
"541",1083
"542",1330
"543",1443
"544",1316
"545",894
"546",604
"547",391
"548",367
"549",307
"550",171
"551",152
"552",105
"553",62
"554",55
"555",34
"556",40
"557",23
"558",26
"559",26
"560",25
"561",32
"562",27
"563",29
"564",23
"565",29
"566",23
"567",27
"568",22
"569",18
"570",17
"571",24
"572",36
"573",26
"574",22
"575",73
"576",53
"577",100
"578",70
"579",43
"580",40
"581",61
"582",106
"583",54
"584",48
"585",43
"586",69
"587",35
"588",40
"589",63
"590",62
"591",91
"592",149
"593",204
"594",254
