"V1" "V2" "V3"
"1" 450.809711545208 450.882107730814 450.090468072739
"2" 450.9609163129 451.033529743007 450.241767335388
"3" 451.189731151192 451.26274283378 450.470755464003
"4" 451.535982762198 451.609702346223 450.81731526512
"5" 452.059924085367 452.134874263097 451.341792748496
"6" 452.852695764023 452.929749435297 452.135481917453
"7" 454.052126577448 454.132728685438 453.336462920474
"8" 455.866573092658 455.953097844038 455.153502684668
"9" 458.61083286999 458.707156646218 457.902066823564
"10" 462.760117699677 462.87253429244 462.058453089416
"11" 469.030875731082 469.16955250234 468.340874865424
"12" 478.50114816065 478.682432247362 477.830247395107
"13" 492.788267783258 493.038318122588 492.14859942253
"14" 514.307724668328 514.668189423695 513.719137689567
"15" 546.642310544153 547.179107586287 546.137435719424
"16" 595.050400652935 595.867080742893 594.68325108587
"17" 667.124602593237 668.382180521473 666.985349430984
"18" 773.551198166451 775.496390597098 773.791732390026
"19" 928.767502105294 931.770147608166 929.645472316407
"20" 1150.99204362312 1155.58824372814 1152.94482763372
"21" 1460.54472644071 1467.47177014876 1464.30603038221
"22" 1874.68876587803 1884.87798898897 1881.4486582678
"23" 2397.1015121575 2411.56917056872 2408.66312402536
"24" 3002.24937163264 3021.81806219633 3021.02995303053
"25" 3621.36482285282 3646.21507392507 3649.96906175861
"26" 4145.12477767547 4174.35705433973 4185.29383638157
"27" 4456.60742715908 4488.17157993964 4507.87071523897
"28" 4484.77369211114 4516.00156917061 4543.80659892269
"29" 4240.51682090492 4269.01259087083 4302.02294313897
"30" 3805.0732832724 3829.38105480689 3863.72147025772
"31" 3283.86133656743 3303.57308253906 3335.9067261526
"32" 2764.02305312492 2779.47125149734 2807.78766397565
"33" 2297.44589048254 2309.30831758364 2332.88719733063
"34" 1904.76947167926 1913.78537547024 1932.7670966134
"35" 1586.93585966988 1593.76411811925 1608.71114199974
"36" 1335.47819281857 1340.65251835452 1352.25298042019
"37" 1138.99268878422 1142.92484696225 1151.83732679628
"38" 986.374799420962 989.374967783665 996.166385832491
"39" 868.076483192546 870.375997129215 875.508783222477
"40" 776.367627142472 778.138648850548 781.9794282203
"41" 705.179950067559 706.55086226701 709.386108833279
"42" 649.822106683628 650.889027484115 652.941111889323
"43" 606.691066093479 607.526293963789 608.967470075823
"44" 573.024184036192 573.682352352461 574.6461106393
"45" 546.700912969682 547.223479865502 547.813448960181
"46" 526.089586090152 526.508125796532 526.804935728015
"47" 509.930937878468 510.269569452769 510.336106369497
"48" 497.250109577977 497.527301834633 497.412725076409
"49" 487.290219579373 487.520141624012 487.262959246752
"50" 479.462092473891 479.655630490654 479.286061092089
"51" 473.306064138364 473.471591009286 473.013384150561
"52" 468.462827693098 468.606788149376 468.07863278509
