"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 2.02209737935193 0.3 2.6 1451.54533655347 374202.647207697 88137.2903304187
"2" 2 2.07128321833377 0.3 2.6 1441.85977607618 353339.206491371 83717.4305902588
"3" 3 2.07324082045436 0.3 2.6 1445.82660017499 349878.628940427 82826.9448094507
"4" 4 2.14847751026316 0.3 2.6 1471.61392798355 331151.655865816 78985.2015426011
"5" 5 2.03690400776874 0.3 2.6 1471.17117211218 315254.490427678 73220.3820763226
"6" 6 2.07936415922611 0.3 2.6 1496.06936536873 299869.946463682 69793.8734829852
"7" 7 2.04703867191456 0.3 2.6 1498.76565903351 293045.530456546 67579.3182594537
"8" 8 1.91131792206363 0.3 2.6 1509.85846703567 284739.442006637 63347.4417859439
"9" 9 1.84460347626017 0.3 2.6 1495.17264701688 268792.682087886 58473.2616273993
"10" 10 1.7984531241792 0.3 2.6 1497.74858493479 263632.904421701 56437.6065081998
"11" 11 1.7886140210973 0.3 2.6 1497.83500115955 262503.899967232 55997.2963806543
"12" 12 1.74788174309487 0.3 2.6 1497.81465363499 256002.193789838 53738.2624897846
"13" 13 1.69999082642347 0.3 2.6 1476.16937456863 246713.181619924 50823.3816359353
"14" 14 1.67344747098848 0.3 2.6 1487.62603375826 238660.278927065 48402.7390248211
"15" 15 1.66844751141837 0.3 2.6 1491.05566608091 237847.054924578 48101.1198210686
"16" 16 1.62085879341171 0.3 2.6 1498.52984837292 224823.835072508 44203.3747287182
"17" 17 1.64316507585404 0.3 2.6 1506.64783613336 219356.815295324 43388.950239686
"18" 18 1.62107801281595 0.3 2.6 1508.81754246902 214659.972979476 41920.3311882436
"19" 19 1.60036758313918 0.3 2.6 1531.18432937833 203667.014087302 39030.60502786
"20" 20 1.54615859444701 0.3 2.6 1521.05454352372 204270.139501989 38109.3725961044
"21" 21 1.47907515246786 0.3 2.6 1513.42568518971 208147.21183586 37405.0145589514
"22" 22 1.45122826318925 0.3 2.6 1514.48353961938 203871.679822434 35826.1545515824
"23" 23 1.325054735198 0.3 2.6 1519.30011586032 205871.26487905 32417.9846972879
"24" 24 1.31441469504208 0.3 2.6 1522.01325227668 206681.379384319 32187.5780666626
"25" 25 1.27898879724914 0.3 2.6 1536.91863314804 208969.431986596 31255.1872109621
"26" 26 1.20318384287615 0.3 2.6 1538.84676385771 210726.64877864 28216.4613849332
"27" 27 1.19181266408713 0.3 2.6 1549.97350251355 204183.91467543 26587.7959266736
"28" 28 1.10775298836682 0.3 2.6 1550.92125710447 202736.595471052 21798.893430882
"29" 29 0.928991376459478 0.3 2.6 1528.98350607727 211998.582107858 13245.5736882143
"30" 30 0.873286743635416 0.3 2.6 1557.86096657646 199834.275283335 11053.2002470353
"31" 31 0.907697433358646 0.3 2.6 1567.96314516838 186506.328656474 10062.1963550677
"32" 32 0.857711115418859 0.3 2.6 1573.54151816609 178851.067663362 8929.08568683063
"33" 33 0.853795493729617 0.3 2.6 1557.7110138344 177815.780338944 8755.72608382609
"34" 34 0.838702035210841 0.3 2.6 1561.83257626836 161891.917389294 7400.3331153554
"35" 35 0.837010271266988 0.3 2.6 1546.99299423076 158380.320376906 7044.2187192063
"36" 36 0.870987080654146 0.3 2.6 1552.63824437551 150929.008482091 6234.16276582527
"37" 37 0.8846670040799 0.3 2.6 1547.62046194611 147590.084992903 5997.21732481561
"38" 38 0.880978736212285 0.3 2.6 1524.13995406897 142017.093858445 5463.73590970054
"39" 39 0.876783721537524 0.3 2.6 1530.32907961201 137097.396302659 5097.79962199712
"40" 40 0.878111443487038 0.3 2.6 1531.70510208251 136938.514084631 5094.8503678691
"41" 41 0.86696705077625 0.3 2.6 1544.61543412644 133322.003613362 4854.52341804735
"42" 42 0.870322680668418 0.3 2.6 1538.92020164617 130907.346110859 4673.27186840469
"43" 43 0.866409830478028 0.3 2.6 1536.47910689642 124289.354306064 4238.91452731523
"44" 44 0.854130560988224 0.3 2.6 1536.57494111911 121204.794250366 4093.17653805574
"45" 45 0.877486528824118 0.3 2.6 1520.22957028093 117802.985984523 3847.23730618394
"46" 46 0.85501075897424 0.3 2.6 1516.5360681999 115681.219524153 3750.04646076119
"47" 47 0.858088505164748 0.3 2.6 1532.40398863702 110448.77467714 3482.97145234573
"48" 48 0.881793305106848 0.3 2.6 1537.71737230977 106684.10289145 3322.66491257749
"49" 49 0.869555100735915 0.3 2.6 1541.23560651711 104041.079468159 3175.31546913211
"50" 50 0.865215831989209 0.3 2.6 1506.16426331414 96957.8648925427 2908.60783702033
"51" 51 0.872338324548143 0.3 2.6 1510.86571316427 93043.4598442889 2788.67162567537
"52" 52 0.856827545720873 0.3 2.6 1519.08859408648 87184.0075203488 2649.24519519906
"53" 53 0.858776826413574 0.3 2.6 1521.03073716806 86734.4803999116 2630.90564488178
"54" 54 0.861873542334014 0.3 2.6 1521.60230813771 83924.7047849997 2568.50766597436
"55" 55 0.857950073303125 0.3 2.6 1533.00645769518 82682.8575118351 2541.51489691438
"56" 56 0.871394239058526 0.3 2.6 1541.97266611363 81693.7571263553 2506.8757638577
"57" 57 0.864908254979069 0.3 2.6 1567.18501367279 78267.2728244372 2433.46346986733
"58" 58 0.859260897013091 0.3 2.6 1573.34525049446 77393.9231234348 2425.99322243784
"59" 59 0.866654425601806 0.3 2.6 1589.66004893571 76853.597264425 2408.20252737357
"60" 60 0.865530714754992 0.3 2.6 1588.84828642708 76328.8059031809 2401.26241227384
"61" 61 0.859604480446315 0.3 2.6 1589.80184896108 76023.0350976157 2403.33919442893
"62" 62 0.860576935851217 0.3 2.6 1588.97833042067 75869.0888407799 2399.74554662704
"63" 63 0.861682483896429 0.3 2.6 1587.93670172358 75895.7365617279 2398.59448106239
"64" 64 0.871030232899926 0.3 2.6 1620.03410226065 69588.7415810052 2347.19129998891
"65" 65 0.863490913218739 0.3 2.6 1614.44012087912 67652.5802531995 2333.32195932417
"66" 66 0.863740594425455 0.3 2.6 1617.24276802601 67390.5911886454 2332.39863562809
"67" 67 0.862936839699499 0.3 2.6 1618.99978285237 66864.7929559035 2331.49181228958
"68" 68 0.861325552805723 0.3 2.6 1625.18030540154 66082.4560851397 2331.15274623259
"69" 69 0.865591844514053 0.3 2.6 1626.25926358078 66349.4497123575 2331.00104198784
"70" 70 0.866304798515346 0.3 2.6 1624.27230956237 66155.7985042506 2331.20212106594
"71" 71 0.865092458764104 0.3 2.6 1624.05490216587 66197.5892960715 2330.58007467486
"72" 72 0.864042240507621 0.3 2.6 1623.00962558029 66297.6810104271 2330.46205931025
"73" 73 0.864705413593217 0.3 2.6 1623.04080035648 66267.6952565048 2330.53565100723
"74" 74 0.863841036836531 0.3 2.6 1623.0493980546 66491.5806742066 2330.65458191542
"75" 75 0.866525799830971 0.3 2.6 1624.13264113468 66695.050884137 2331.91077383824
"76" 76 0.864259832470108 0.3 2.6 1624.44787891534 66495.9703742691 2330.69202172923
"77" 77 0.86369425582878 0.3 2.6 1620.87459912554 66336.4298281613 2330.61753370952
"78" 78 0.861352259568406 0.3 2.6 1625.34487333717 65491.2051798974 2330.87005956122
"79" 79 0.864887017414274 0.3 2.6 1624.16784916481 65359.2007742587 2330.44900689406
"80" 80 0.863149145416647 0.3 2.6 1623.80487408223 65504.157600991 2330.23582120143
"81" 81 0.862358319433992 0.3 2.6 1623.68822080905 65704.2020074301 2330.43818376313
"82" 82 0.860536731784536 0.3 2.6 1621.97802363158 65715.9058595859 2331.78834760712
"83" 83 0.864217779687422 0.3 2.6 1624.64504892079 65835.8446955061 2330.17485463922
"84" 84 0.861647856832299 0.3 2.6 1624.72411325471 65939.7754220472 2330.83184392609
"85" 85 0.862966332937447 0.3 2.6 1627.53884968532 63990.4731845775 2331.86730071658
"86" 86 0.86109235298964 0.3 2.6 1629.62708637373 65723.0723763976 2331.26934009271
"87" 87 0.864684281875285 0.3 2.6 1631.46153671032 66049.3141805006 2330.96778607322
"88" 88 0.867065496822359 0.3 2.6 1633.61493788018 66342.3984895653 2333.30223563024
"89" 89 0.862694966164984 0.3 2.6 1634.56671265227 66032.9933665521 2331.71892979822
"90" 90 0.86304376824602 0.3 2.6 1632.19543849898 66129.2517258132 2331.19965242127
"91" 91 0.866975500699179 0.3 2.6 1630.16527289023 66483.7531918814 2332.65420988315
"92" 92 0.865324517197333 0.3 2.6 1625.84399267085 66690.2690983965 2331.32938902939
"93" 93 0.863261705014044 0.3 2.6 1629.58836066401 66726.293911565 2331.73800981909
"94" 94 0.868831111719213 0.3 2.6 1618.96723881695 65832.4556636015 2334.47545104928
"95" 95 0.865130578452874 0.3 2.6 1621.69854877635 65769.301088361 2330.63346346828
"96" 96 0.864027972030924 0.3 2.6 1620.13067187012 65809.8818616959 2330.57907619911
"97" 97 0.865388702013968 0.3 2.6 1621.09823446556 65740.7322592144 2330.83153731203
"98" 98 0.860036722090926 0.3 2.6 1617.84084183361 65931.4576295605 2332.98898311568
"99" 99 0.861712670965238 0.3 2.6 1616.07798093145 65765.8218071043 2332.07432986192
"100" 100 0.865610855363512 0.3 2.6 1617.96879371019 65909.4430976147 2331.43581498118
"101" 101 0.861531820949466 0.3 2.6 1616.22999715787 65981.0974738379 2332.0732905347
"102" 102 0.862047307195219 0.3 2.6 1614.84747351791 66014.4281632158 2332.1479740881
"103" 103 0.862530735029578 0.3 2.6 1613.61399517566 66034.8790603585 2332.31214792291
"104" 104 0.864175327050088 0.3 2.6 1613.95775622347 66207.6675845734 2331.92996804733
"105" 105 0.862391970385013 0.3 2.6 1613.53166019913 66765.9915192612 2332.53954305702
"106" 106 0.861587484325852 0.3 2.6 1611.65867587973 66629.0712808918 2333.46186965912
"107" 107 0.868356210633535 0.3 2.6 1614.37087746325 66518.5434642002 2334.68924979214
"108" 108 0.865926017459722 0.3 2.6 1615.91830872509 66740.7415737876 2332.17939392583
"109" 109 0.863826015936814 0.3 2.6 1615.88197846236 66754.6980933187 2331.64423246464
"110" 110 0.864532474384342 0.3 2.6 1616.66160768285 66621.160328851 2331.4378387821
"111" 111 0.865547065908203 0.3 2.6 1616.84976405993 66289.2313832821 2331.59447931333
"112" 112 0.864856291704309 0.3 2.6 1619.11142746943 65986.3644897976 2330.88264294937
"113" 113 0.86479357991705 0.3 2.6 1618.013777514 65814.8708457931 2331.12645827264
"114" 114 0.863790964651049 0.3 2.6 1630.51653695757 65764.4365861424 2330.41347200312
"115" 115 0.862111821888984 0.3 2.6 1623.6671894066 65844.2641214399 2330.57408528742
"116" 116 0.861709371021679 0.3 2.6 1620.13380195366 65369.2957019685 2331.34423911047
"117" 117 0.864175764763874 0.3 2.6 1619.00992734174 65357.7236009829 2331.10852801583
"118" 118 0.863910191500983 0.3 2.6 1621.06178179955 65394.1813629527 2330.62205516375
"119" 119 0.862303414934959 0.3 2.6 1620.65973164606 65243.9434621497 2331.06955516368
"120" 120 0.864494796367607 0.3 2.6 1621.30139337183 65212.6282901766 2330.84638198605
"121" 121 0.864397459472293 0.3 2.6 1621.47031678609 64767.4924831483 2331.43173493737
"122" 122 0.864630925324948 0.3 2.6 1621.59475085283 64764.3611343023 2331.47736807052
"123" 123 0.861655296071574 0.3 2.6 1624.44838269685 64760.9940594397 2331.26306813798
"124" 124 0.866382869827272 0.3 2.6 1623.52014561448 65132.761359509 2331.58074413654
"125" 125 0.863578414911124 0.3 2.6 1625.63775571854 65813.0497202402 2330.12537200342
"126" 126 0.861267545359946 0.3 2.6 1627.90293830026 65844.8459438051 2331.09363522164
"127" 127 0.865344454571108 0.3 2.6 1627.46353605398 65874.1241981283 2330.56109788202
"128" 128 0.866641267262397 0.3 2.6 1629.21059104403 65828.4721902548 2331.50714581742
"129" 129 0.866677620787424 0.3 2.6 1627.47456823957 65819.1132293431 2331.40093032123
"130" 130 0.861466310372271 0.3 2.6 1618.99343547603 67165.4479131001 2332.79354204758
"131" 131 0.864438207456698 0.3 2.6 1622.22896781827 67400.0999442048 2332.33023629002
"132" 132 0.866267750613044 0.3 2.6 1620.7237260922 67459.8505598605 2333.0774103727
"133" 133 0.866092014387113 0.3 2.6 1621.90548483614 67207.3436013307 2332.44215879251
"134" 134 0.865629333846978 0.3 2.6 1618.21849707906 67089.0964678746 2332.10283874511
"135" 135 0.8665053471359 0.3 2.6 1617.11759627673 66819.0898500816 2332.41979095767
"136" 136 0.864782074488892 0.3 2.6 1616.38546551897 66879.9691540981 2331.76840373564
"137" 137 0.863220233423171 0.3 2.6 1618.87639851949 66768.9133265642 2331.30005960095
"138" 138 0.862257063445816 0.3 2.6 1616.74733940548 66585.073110794 2331.75136244472
"139" 139 0.863262021689757 0.3 2.6 1616.7270940895 66252.6694845966 2331.25293723136
"140" 140 0.86486175683437 0.3 2.6 1618.42377582881 66370.8083599301 2331.06986218048
"141" 141 0.864977086167611 0.3 2.6 1618.85833572148 66202.0833507332 2330.97851496146
"142" 142 0.864182189897219 0.3 2.6 1621.46069795904 66388.7754718922 2330.62228727951
"143" 143 0.864208393634955 0.3 2.6 1625.63309744466 66348.8515161992 2330.55313590004
"144" 144 0.860965732801556 0.3 2.6 1621.40999195217 65887.0881336497 2331.5133149275
"145" 145 0.863082466647893 0.3 2.6 1620.24559182517 65819.0854476363 2330.61211167333
"146" 146 0.862764149586662 0.3 2.6 1620.14662534423 65724.7602720921 2330.72106342187
