"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 1.34310683702895 0.3 2.6 774.506829635514 147237.982106721 108438.112353869
"2" 2 1.25374549789568 0.3 2.6 791.338100431434 155876.972878573 97408.0020101431
"3" 3 1.23052997099545 0.3 2.6 784.042918589593 160598.503594544 94515.3587132339
"4" 4 1.18425975867274 0.3 2.6 775.222884332213 162982.446206258 86782.1935649728
"5" 5 1.11234024752541 0.3 2.6 772.587017096553 168777.707938714 69527.3173462293
"6" 6 1.05751678984303 0.3 2.6 765.371752043721 171852.693947168 53067.7928055503
"7" 7 1.0344363738012 0.3 2.6 759.267133125152 168931.577297697 46386.7737544354
"8" 8 0.964618255611389 0.3 2.6 759.170991733942 171624.927567774 24730.3172537291
"9" 9 0.913097944382762 0.3 2.6 750.804551948437 176325.554417222 15647.3986631297
"10" 10 0.912923480479754 0.3 2.6 752.754318340041 179200.270223443 15107.2262514388
"11" 11 0.91802689193997 0.3 2.6 755.450362765891 182969.349624944 14733.0572083882
"12" 12 0.912206542378231 0.3 2.6 756.019117351237 183765.348608642 14269.3938815645
"13" 13 0.908550546525377 0.3 2.6 755.568050448112 186054.990810273 13831.5583079892
"14" 14 0.91483059701151 0.3 2.6 763.088950526125 191436.966420293 13089.6381586916
"15" 15 0.911596717881392 0.3 2.6 763.061524892908 191542.04690193 12954.5852563404
"16" 16 0.913794182498433 0.3 2.6 771.010990432839 197811.64746294 12021.0630540206
"17" 17 0.914527702167282 0.3 2.6 770.754955572377 204912.165596699 11201.5228314706
"18" 18 0.901004661651882 0.3 2.6 778.708804621815 208641.594557462 10764.4617184682
"19" 19 0.907901066939764 0.3 2.6 779.585491696987 208360.661419093 10573.5729823506
"20" 20 0.905955109412003 0.3 2.6 781.933691529638 218933.93717446 9608.62540945189
"21" 21 0.910376701497142 0.3 2.6 781.465187444577 219687.827572611 9469.15093193197
"22" 22 0.907712415241269 0.3 2.6 783.942002216553 226049.146527395 8970.23512759009
"23" 23 0.909898590595574 0.3 2.6 782.572914362671 233037.713421159 8457.54373065898
"24" 24 0.917163134267172 0.3 2.6 787.42984045694 239028.12472424 7943.56861732053
"25" 25 0.917033665573042 0.3 2.6 788.205410153031 245753.430895819 7530.49228873674
"26" 26 0.917660550078991 0.3 2.6 788.323671512358 246700.37493599 7480.89450922474
"27" 27 0.921289994822017 0.3 2.6 788.723194556449 254194.052624798 7143.55810623415
"28" 28 0.917846097660486 0.3 2.6 782.922065307574 260128.612128859 6945.45465595389
"29" 29 0.921536606142811 0.3 2.6 778.007726879744 267439.742436237 6773.22038656785
"30" 30 0.919116623802901 0.3 2.6 778.392475071498 267145.660017969 6763.87402304515
"31" 31 0.918674465284057 0.3 2.6 779.723364704604 267786.758146794 6723.47728758247
"32" 32 0.918133376608891 0.3 2.6 779.520395345227 268799.60228516 6699.09289544532
"33" 33 0.924760722566182 0.3 2.6 776.205510911378 277114.78677616 6560.94559425189
"34" 34 0.927235620459668 0.3 2.6 772.079621587657 285417.119461196 6491.26500498728
"35" 35 0.92432993110425 0.3 2.6 772.074425494889 284541.219698594 6443.1606689221
"36" 36 0.92269370240254 0.3 2.6 771.259776734151 285923.874682515 6414.91761805558
"37" 37 0.921309881092074 0.3 2.6 779.20038811604 281797.327761372 6368.50076999636
"38" 38 0.922065939784642 0.3 2.6 785.374487836109 281098.352937012 6292.42052905544
