"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 2.22537892656547 0.3 2.6 688.816330713704 64592.9173836158 86206.8689695935
"2" 2 2.30816615447599 0.3 2.6 697.34841287014 61520.8794350149 85129.1009880395
"3" 3 2.24357887901133 0.3 2.6 697.086369133011 60780.1737784884 84597.2838420542
"4" 4 2.25241737708219 0.3 2.6 713.568592389673 61570.3253887057 83084.5704188065
"5" 5 2.10228655563787 0.3 2.6 714.346620624656 59135.7615583333 81347.5720025039
"6" 6 2.12134177289234 0.3 2.6 733.285963778059 61440.434636167 80076.0578396049
"7" 7 2.04716976676157 0.3 2.6 734.915586750941 61615.5789134869 79252.7004967173
"8" 8 2.03956470424499 0.3 2.6 745.435281924552 63443.601510734 78517.5108970497
"9" 9 1.86379266892544 0.3 2.6 743.366114427293 63473.8713701563 76460.5553301898
"10" 10 1.79981829607109 0.3 2.6 742.308628172702 65905.5193339349 75919.5890760649
"11" 11 1.79481414900406 0.3 2.6 760.918103943573 65068.5388480845 73983.8164707852
"12" 12 1.52518737969562 0.3 2.6 751.606920263497 66429.9985066686 69244.5846744149
"13" 13 1.44236440631722 0.3 2.6 757.803318032046 70854.8239826285 66855.614488775
"14" 14 1.353116057477 0.3 2.6 767.280487175904 70160.1812984943 63262.3641827314
"15" 15 1.33274948473562 0.3 2.6 774.415915543179 68391.1208220777 61938.5972310273
"16" 16 1.29056876480276 0.3 2.6 769.955081961972 66784.1257114419 60840.6731856974
"17" 17 1.21561801746622 0.3 2.6 771.862615040689 65609.6721237552 58134.5541540605
"18" 18 1.16911268516691 0.3 2.6 769.068087652821 65578.3471911488 56724.8904282192
"19" 19 1.15759418803024 0.3 2.6 779.411437646133 66842.1465145159 55532.2610161092
"20" 20 1.095326395174 0.3 2.6 777.563534490092 65173.074549901 53472.2894216438
"21" 21 1.05338012633959 0.3 2.6 789.739772434326 66981.7429326929 50949.048537934
"22" 22 1.01748945542415 0.3 2.6 795.05035150298 67262.059907103 49112.2212174851
"23" 23 0.976257604402859 0.3 2.6 781.680067762971 70996.4906413127 47654.4956397727
"24" 24 0.909267071929294 0.3 2.6 788.67360869492 70811.7847624237 42818.7022389472
"25" 25 0.845604869330786 0.3 2.6 780.869269912057 66081.2154543456 38338.0643269445
"26" 26 0.811984343160839 0.3 2.6 798.712709280932 67666.4996163471 33361.2641017719
"27" 27 0.77189908926714 0.3 2.6 807.33818202016 70591.1336358784 28943.7825304548
"28" 28 0.765927184290327 0.3 2.6 809.954361007629 70659.4891368692 28604.4001552891
"29" 29 0.755735648221973 0.3 2.6 816.366555726952 71691.1150782966 27906.9298263586
"30" 30 0.763219149774029 0.3 2.6 814.020199782875 73310.6732388437 27602.4028368118
"31" 31 0.760897390440047 0.3 2.6 814.030231229628 73436.6908990229 27539.1151496329
"32" 32 0.76211424374199 0.3 2.6 810.214671380818 77379.9223712884 26655.9062826039
"33" 33 0.758998566893934 0.3 2.6 822.968572486228 78424.696052991 25825.3076999288
"34" 34 0.762487787283703 0.3 2.6 830.751462933454 80611.6649326567 24959.6047538264
"35" 35 0.759533147257988 0.3 2.6 841.732181648449 81317.287401482 24339.9370864639
"36" 36 0.757011744368655 0.3 2.6 841.609709005452 81826.6734610821 24248.0062280765
"37" 37 0.753100710826223 0.3 2.6 847.465980812886 85051.1611024104 23384.0993865241
"38" 38 0.758170703063877 0.3 2.6 846.930213061903 84863.9682018838 23336.1360819186
"39" 39 0.778155773303774 0.3 2.6 853.474152490739 85729.7581602629 23233.6862531379
