"V1" "V2" "V3"
"1" 1418.17440491784 1417.89610553309 1418.0527026457
"2" 1418.41508859576 1418.13409632888 1418.28964848698
"3" 1418.8197753533 1418.53316631201 1418.68654306908
"4" 1419.500123927 1419.20224794755 1419.35126779553
"5" 1420.64364269235 1420.32377683355 1420.46430317051
"6" 1422.56490144355 1422.20299124637 1422.32728832017
"7" 1425.79074946511 1425.34975965608 1425.44352646159
"8" 1431.2010801242 1430.61342506353 1430.65048941502
"9" 1440.25841849226 1439.40229211199 1439.3352171528
"10" 1455.37416162501 1454.03328568116 1453.7769792918
"11" 1480.46986651374 1478.26786518858 1477.67161968983
"12" 1521.77383853528 1518.07512520537 1516.87671349694
"13" 1588.77633395746 1582.55851827026 1580.31392402399
"14" 1694.88900615257 1684.64063844458 1680.63075486579
"15" 1856.44976617267 1840.27104263326 1833.41659599225
"16" 2087.21884545529 2063.50833314418 2052.39716119634
"17" 2384.88409999613 2354.04921285204 2337.28384110496
"18" 2711.43027081963 2678.21881161285 2655.26630000871
"19" 2985.24485071415 2959.15129324447 2931.38955709181
"20" 3112.81505517398 3103.51881520748 3074.38331281373
"21" 3051.98648409101 3062.38211336276 3035.85277021943
"22" 2842.50693883124 2867.07100252484 2845.67996770186
"23" 2568.42108658689 2598.36287395854 2582.56249507542
"24" 2301.38615337296 2329.99169776911 2318.91199717167
"25" 2077.30195360376 2101.42338962259 2093.83524079135
"26" 1903.7633945682 1922.78914594134 1917.62184477021
"27" 1774.75135412299 1789.24936642011 1785.72023846339
"28" 1680.53704176069 1691.40619221753 1688.98357695469
"29" 1612.06391105175 1620.15926820795 1618.49092924063
"30" 1562.19400570096 1568.21201791501 1567.06471576012
"31" 1525.67885774264 1530.15116501785 1529.36872760722
"32" 1498.76929051132 1502.09072449709 1501.5669349092
"33" 1478.81086160821 1481.27193521723 1480.93337133016
"34" 1463.9214662344 1465.73592532 1465.53107641352
"35" 1452.75773533263 1454.08355316704 1453.97582270678
"36" 1444.35230972006 1445.30699127972 1445.27011235617
"37" 1438.00205967632 1438.67361006168 1438.68857954324
"38" 1433.19135568945 1433.64611654131 1433.69910396584
"39" 1429.53905615638 1429.82732816718 1429.90822391287
"40" 1426.76150376287 1426.92161306081 1427.02300494151
"41" 1424.64638839099 1424.70765568192 1424.82409849396
"42" 1423.03406152437 1423.01899133934 1423.14648031634
"43" 1421.80402458669 1421.72993439896 1421.86552274679
"44" 1420.8650578201 1420.74530032899 1420.8868198236
"45" 1420.14794433659 1419.99283099346 1420.13868702069
"46" 1419.60006663973 1419.41756954607 1419.56659031339
"47" 1419.18136878967 1418.97765670829 1419.12898209846
"48" 1418.86132385493 1418.64117310528 1418.79417265725
"49" 1418.61664717776 1418.38375756706 1418.53796991878
"50" 1418.42956651901 1418.18680482262 1418.34189299745
"51" 1418.28651018094 1418.03609812062 1418.19181652308
"52" 1418.17711016202 1417.92076972876 1418.07693979861
