"V1" "V2" "V3"
"1" 1380.4586803076 1365.24369485115 1372.80037595025
"2" 1380.65902006006 1365.44417062971 1373.00112830188
"3" 1380.9816042558 1365.76702453487 1373.32453034431
"4" 1381.50100678573 1366.28694327489 1373.84549737369
"5" 1382.33726599877 1367.12416639538 1374.68467547107
"6" 1383.6835569703 1368.47222511662 1376.03631242557
"7" 1385.85063435402 1370.64250118351 1378.21304354259
"8" 1389.3380943103 1374.13569143048 1381.71774438824
"9" 1394.94834109801 1379.7561303982 1387.35851419427
"10" 1403.96807717112 1388.79391211245 1396.4319164447
"11" 1418.4553255766 1403.31304975569 1411.013019893
"12" 1441.68818997574 1426.60232404296 1434.40937982841
"13" 1478.85319836861 1463.86755505587 1471.8584486429
"14" 1538.0669966682 1523.26087546571 1531.56506960955
"15" 1631.80547890789 1617.32480318524 1626.15813523043
"16" 1778.68002276078 1764.79818179033 1774.51425822158
"17" 2005.07344970983 1992.3101253498 2003.47252064592
"18" 2345.11203641036 2334.45779852932 2347.92525636048
"19" 2835.50327915556 2828.806837872 2845.79267748881
"20" 3499.53428988629 3500.04064732417 3522.04585498167
"21" 4315.88161571802 4328.61695281944 4357.06856417357
"22" 5181.37027300849 5212.50066879723 5247.98276476042
"23" 5904.49906294972 5958.61867123594 5999.96483821319
"24" 6274.58046666769 6350.6189672684 6394.68233240769
"25" 6185.36008339797 6274.78338404669 6317.51237222066
"26" 5702.48350289592 5792.67308684396 5830.83829809635
"27" 5005.25724181407 5085.39411570609 5117.56833274992
"28" 4272.79304288613 4337.23746211491 4363.57061439837
"29" 3616.79169863113 3664.69609346963 3686.14491663196
"30" 3079.774497698 3113.02006040878 3130.71355039002
"31" 2661.70264996505 2683.08837708348 2698.01665007833
"32" 2344.65590586272 2356.90032219868 2369.83038726418
"33" 2107.03481845153 2112.40113246915 2123.89417238872
"34" 1929.54323159084 1929.78592745497 1940.24281220657
"35" 1796.8093255685 1793.2433379543 1802.94859258606
"36" 1697.20939952206 1690.8062765729 1699.96239792816
"37" 1622.15589720167 1613.63082012589 1622.38294245828
"38" 1565.35627208089 1555.23670202025 1563.68974320462
"39" 1522.20036552001 1510.87711469515 1519.10757564131
"40" 1489.29700128558 1477.06127605181 1485.12537698054
"41" 1464.13686703758 1451.20690412257 1459.14624142784
"42" 1444.85111396386 1431.39133955216 1439.2368627275
"43" 1430.03910313869 1416.17398409958 1423.94882509556
"44" 1418.64508958693 1404.46922160785 1412.19073099001
"45" 1409.86933123179 1395.45484649893 1403.13607405771
"46" 1403.10346373024 1388.50551429989 1396.15629539162
"47" 1397.8830948489 1383.14394178203 1390.77170039273
"48" 1393.8527298314 1379.00481258198 1386.61515862197
"49" 1390.73961629325 1375.80786954553 1383.40504526946
"50" 1388.33410615743 1373.33771678682 1380.92493172354
"51" 1386.47482439873 1371.42856895236 1379.00825192765
"52" 1385.03741335764 1369.95267935917 1377.5266685531
