"V1" "V2" "V3"
"1" 168.96366455719 162.087104799242 166.453106666948
"2" 169.07831686316 162.202549060104 166.566914959522
"3" 169.242387402368 162.367971925249 166.729546580108
"4" 169.477159614118 162.604992841154 166.961929529862
"5" 169.813065314689 162.944564835896 167.293944808039
"6" 170.293598164312 163.430984618803 167.76823802192
"7" 170.98088149463 164.127605144301 168.445634474684
"8" 171.96356914642 165.124951846098 169.41281218571
"9" 173.368014505318 166.552209677476 170.793133309648
"10" 175.373972915951 168.593390122819 172.761850321932
"11" 178.236500159163 171.509898693737 175.567283201376
"12" 182.316129325728 175.671655260907 179.559964192581
"13" 188.119714609871 181.599226813817 185.232038519033
"14" 196.354198119996 190.019267535063 193.269084393506
"15" 207.994289038254 201.93418174927 204.615316179699
"16" 224.361279630871 218.702877272529 220.549574251614
"17" 247.201527217226 242.120173692295 242.761292191452
"18" 278.735719559327 274.463876764434 273.399196915845
"19" 321.619426653644 318.446099447905 315.036579562108
"20" 378.710156747374 376.958010812784 370.454032092196
"21" 452.488430774007 452.449018623066 442.094617147038
"22" 543.976954861466 545.784084966799 531.04043120776
"23" 651.143785330259 654.584882837592 635.487453206641
"24" 767.184688863709 771.505153507566 749.074771372971
"25" 879.720555503857 883.555018144653 860.032752742178
"26" 972.321572118389 973.913136252223 952.505909622123
"27" 1028.97770032382 1026.71411032159 1010.72567545748
"28" 1039.94695253582 1032.97467569571 1024.66551776154
"29" 1005.55727714818 994.088105103357 993.942062287405
"30" 935.445464391499 920.567758097518 927.396235143171
"31" 844.025004736874 827.198395545413 838.886880917171
"32" 745.335312208691 727.906528032466 742.251672643539
"33" 649.842913803755 632.786449097686 648.024303452863
"34" 563.681528571369 547.562942122273 562.527994511784
"35" 489.423050727994 474.483802742538 488.535816363633
"36" 427.314922918048 413.586326858457 426.45645955612
"37" 376.362197095197 363.760881619449 375.406024367111
"38" 335.062976341095 323.455454864603 333.9517297354
"39" 301.830294060719 291.070785717093 300.546318704868
"40" 275.198056758832 265.147913117902 273.744776408997
"41" 253.899885924514 244.435948096917 252.290788188569
"42" 236.881870063136 227.898806095368 235.134346213191
"43" 223.285393571569 214.695083631076 221.417479460742
"44" 212.41936015607 204.149038604782 210.448133310184
"45" 203.731161906306 195.721199729753 201.672048846155
"46" 196.780360966752 188.982107264269 194.64692565136
"47" 191.216358580314 183.590213508117 189.020332459335
"48" 186.760093883996 179.273862522746 184.511517309033
"49" 183.189324948918 175.816844865766 180.896731032384
"50" 180.326908270314 173.046920777955 177.99751403065
"51" 178.031510557187 170.826739395779 175.671398426562
"52" 176.190260944196 169.046663262273 173.804543381861
