"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 1.11813064097787 0.3 2.6 414.697422264758 204796.482474919 54411.3937865839
"2" 2 1.09976037190451 0.3 2.6 416.06020238309 206957.386952353 52807.7037680324
"3" 3 1.06541098802381 0.3 2.6 413.621644298324 201272.377031078 47808.6049649291
"4" 4 1.02191819977223 0.3 2.6 417.683535948141 202685.73038457 41647.2977009433
"5" 5 0.945635831505597 0.3 2.6 413.584689529187 195802.552886078 26915.510623613
"6" 6 0.885257689843911 0.3 2.6 416.068307409135 189476.075676602 14393.1716648297
"7" 7 0.833845296309564 0.3 2.6 416.946635762069 187825.96767723 7008.8622015227
"8" 8 0.828197994501864 0.3 2.6 415.769939689604 185602.747039621 6430.06849600217
"9" 9 0.806150704991803 0.3 2.6 413.529914326395 181455.482988799 5496.3873482188
"10" 10 0.806256983784336 0.3 2.6 410.078856921734 177837.289504622 5185.46943627914
"11" 11 0.807195288944345 0.3 2.6 414.18449479264 170660.097116322 4725.9495667279
"12" 12 0.799100889943014 0.3 2.6 411.801821822501 157545.730092299 3991.66684435478
"13" 13 0.799008878982984 0.3 2.6 407.676123901615 155492.129031941 3844.34112432099
"14" 14 0.804858273151425 0.3 2.6 407.495975189354 152690.978357605 3658.05131047258
"15" 15 0.801788675645242 0.3 2.6 403.261048373227 148184.602632764 3428.73847522984
"16" 16 0.80353857794768 0.3 2.6 402.936757668616 147492.153705563 3398.14834744976
"17" 17 0.802153944092146 0.3 2.6 403.336332512992 147130.635552053 3385.90035336875
"18" 18 0.804306826721667 0.3 2.6 402.809743832631 146029.025704142 3346.4839586792
"19" 19 0.801406779301827 0.3 2.6 408.867012400208 142194.555043095 3248.6343507506
"20" 20 0.801448884231466 0.3 2.6 409.932986091521 140017.740725249 3187.3641577635
"21" 21 0.802144572178463 0.3 2.6 408.364880063904 136144.752764643 3075.51077085396
"22" 22 0.801057480675564 0.3 2.6 408.82309064817 134494.84559647 3034.51969908034
"23" 23 0.799835156760759 0.3 2.6 408.229604106471 134178.59664347 3019.88107190133
"24" 24 0.799289637425368 0.3 2.6 408.050783239803 133848.762628616 3011.30614851983
"25" 25 0.800280757209706 0.3 2.6 408.283585486743 133673.532089042 3010.23835605282
"26" 26 0.8001056428795 0.3 2.6 408.000102124521 132904.049865996 2992.15485128019
"27" 27 0.799308084003903 0.3 2.6 403.83222221662 130918.764849581 2927.98765137075
"28" 28 0.799995970609368 0.3 2.6 402.795712385367 127362.922144905 2878.26410369303
"29" 29 0.797561414591794 0.3 2.6 402.793804875537 127184.396146248 2868.27575914249
"30" 30 0.796599650354642 0.3 2.6 402.719815236326 127008.939240148 2868.25326819158
"31" 31 0.798270167059234 0.3 2.6 402.766675324256 127014.17884279 2866.5317647921
"32" 32 0.797521401453248 0.3 2.6 402.845005656453 124972.954398106 2847.26350868369
"33" 33 0.796849510885262 0.3 2.6 402.520023034893 124783.273620913 2844.20889320092
"34" 34 0.796849510885262 0.3 2.6 402.520023034893 124783.273620913 2844.20889320092
"35" 35 0.796709490457415 0.3 2.6 402.719389924126 123735.322407449 2838.06168497447
"36" 36 0.796782342818473 0.3 2.6 402.471172019558 123681.524216312 2836.46603653264
"37" 37 0.797180983553395 0.3 2.6 402.330770043783 123773.068072155 2836.39064477155
"38" 38 0.79731434745205 0.3 2.6 397.713414559782 123217.442537961 2811.992884168
"39" 39 0.796420123028836 0.3 2.6 397.144760719849 123454.052220046 2810.35283143294
"40" 40 0.796197100068676 0.3 2.6 396.990478847202 123361.680375686 2809.61302727293
"41" 41 0.797561180777126 0.3 2.6 396.931318279715 123373.744345648 2809.60574049799
"42" 42 0.795942071162439 0.3 2.6 396.677516746166 122956.056991558 2806.9030891957
"43" 43 0.796717908622937 0.3 2.6 396.255362931345 123122.456114891 2804.60250663417
"44" 44 0.797545252161234 0.3 2.6 395.945422500324 122856.841712297 2803.49089792657
"45" 45 0.795983881652575 0.3 2.6 395.930557428821 122716.716529192 2802.51457899013
"46" 46 0.79724331254648 0.3 2.6 396.329773534113 122548.535212973 2803.5723876318
"47" 47 0.79570131172616 0.3 2.6 395.980370932748 122180.755597099 2801.55845759426
"48" 48 0.79582408562582 0.3 2.6 395.80260686311 121671.175726651 2799.15956032272
"49" 49 0.795049011176129 0.3 2.6 395.927745763768 120913.163685554 2800.68679889737
"50" 50 0.796021653844747 0.3 2.6 395.851214376613 120371.635557688 2798.22909637373
"51" 51 0.796109851732084 0.3 2.6 394.360348836953 121966.199702244 2793.35597348479
"52" 52 0.796109851732084 0.3 2.6 394.360348836953 121966.199702244 2793.35597348479
