"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 1.80927759945999 0.3 2.6 494.88863442947 77161.7710210229 66022.9318060391
"2" 2 1.73066702853863 0.3 2.6 494.932048590337 76687.5502543926 64020.5833742444
"3" 3 1.70218498608106 0.3 2.6 494.597998562002 75469.7090368119 63080.1123896075
"4" 4 1.61164599834903 0.3 2.6 486.152287997775 77950.9876907345 61668.58285618
"5" 5 1.51005102405858 0.3 2.6 487.252399115886 76879.6342657946 58165.3275227583
"6" 6 1.46817214606616 0.3 2.6 491.128297511961 75204.5999419363 56206.6447577812
"7" 7 1.36008832377642 0.3 2.6 486.948018337208 72652.3538931483 52456.1976647963
"8" 8 1.26829069393374 0.3 2.6 486.886359063565 73810.6822537182 49094.5352503774
"9" 9 1.17181737967189 0.3 2.6 477.437238768476 74242.3538534902 45801.3444408538
"10" 10 1.12691783179357 0.3 2.6 477.868195132806 73967.3473397531 43709.722920149
"11" 11 1.06711139792407 0.3 2.6 476.212587932978 72018.8155808315 40835.9502694723
"12" 12 1.03133680292212 0.3 2.6 476.808259205165 70665.2077873407 38861.1401953673
"13" 13 0.948784578386371 0.3 2.6 463.005071437905 72510.4417692529 33794.1666781072
"14" 14 0.902916251295356 0.3 2.6 458.980358779247 72996.552595003 29754.9581333495
"15" 15 0.896433824170696 0.3 2.6 459.078773201164 72981.3045223173 29104.6517180054
"16" 16 0.899175940543796 0.3 2.6 462.869823308298 75034.1755522321 28831.7490003965
"17" 17 0.843012704534033 0.3 2.6 463.816493451674 77166.5082906959 22428.0956511293
"18" 18 0.805010883803367 0.3 2.6 465.43870662026 79036.7834905357 18595.0779006666
"19" 19 0.784568679036415 0.3 2.6 469.12019658041 79538.2037324454 17371.5888594947
"20" 20 0.769949928909098 0.3 2.6 472.674881689997 82192.9962806022 16611.8195116504
"21" 21 0.774532167111915 0.3 2.6 473.859438584403 85148.1524308412 16021.0272137915
"22" 22 0.770205517160235 0.3 2.6 482.759287415106 87894.9222681156 15321.6955275663
"23" 23 0.772542038880142 0.3 2.6 482.655727739923 87866.1034684224 15298.6993341261
"24" 24 0.783151141341095 0.3 2.6 485.881089874641 90141.752114532 14873.2659846705
"25" 25 0.782744350760945 0.3 2.6 486.562300384948 96037.5120614503 13972.1189744478
"26" 26 0.781620527412179 0.3 2.6 486.58287427585 96312.1873536582 13923.4143951723
"27" 27 0.780712197881213 0.3 2.6 486.92943216546 96331.8547208213 13905.0909365762
"28" 28 0.779809474582097 0.3 2.6 483.299287432793 101612.990688037 13327.6094786392
