"V1" "V2" "V3"
"1" 33.0217508995914 33.1050416870642 33.0412882074012
"2" 33.1273585900023 33.2098298015006 33.1471534140175
"3" 33.2761454169671 33.3572474302611 33.2963711890584
"4" 33.4857471805203 33.5646185851998 33.506676262692
"5" 33.780984432785 33.8562895147914 33.8030400965728
"6" 34.1967714969808 34.2664575347573 34.2206058890947
"7" 34.7821855621752 34.8431221735964 34.8087961941623
"8" 35.6061409531732 35.6535869745985 35.6370441024458
"9" 36.7652670187741 36.7920870326454 36.8027548729745
"10" 38.3947764604088 38.3902973527811 38.4422968969435
"11" 40.6833225260009 40.6316791147362 40.7460373611031
"12" 43.893037955903 43.7708066399776 43.9786386918377
"13" 48.3860254566966 48.1588924158399 48.5059159759629
"14" 54.6583103372735 54.2764851478384 54.829302928936
"15" 63.3812353940202 62.7733472361788 63.6279446068765
"16" 75.4476744215416 74.5130706926125 75.8058164019623
"17" 92.0149215898752 90.6148043613091 92.5356962659724
"18" 114.525744145438 112.474718099331 115.281313860976
"19" 144.671859216381 141.733603805673 145.761495005703
"20" 184.240074404927 180.134241193916 185.795602610332
"21" 234.758094157576 229.189610929341 236.945628795917
"22" 296.859225731235 289.583247018704 299.871909015872
"23" 369.362608157897 360.292076819173 373.397270369225
"24" 448.27572991097 437.615483898456 453.487844017377
"25" 526.253267134333 514.604197730355 532.693336463756
"26" 593.266671506385 581.610427697374 600.818086666466
"27" 638.922852497954 628.423316806289 647.276618948043
"28" 655.822475594753 647.490136871634 664.518619313879
"29" 642.2431708535 636.629836752765 650.773456408511
"30" 602.509688785465 599.603100964627 610.435485678196
"31" 544.927896919952 544.276228748194 551.958909324967
"32" 478.720386714376 479.671768229298 484.730883340943
"33" 411.615518850515 413.53159742772 416.612492134931
"34" 348.807183404653 351.181142984802 352.880366748106
"35" 293.044502287764 295.530086657443 296.321308577241
"36" 245.259673865968 247.649447951943 247.874380661617
"37" 205.266091684312 207.453145520407 207.342929077383
"38" 172.307139599963 174.249157413821 173.953227155443
"39" 145.413207579994 147.10548130109 146.7172121
"40" 123.60272346437 125.060257121458 124.636292158419
"41" 105.979274250009 107.22589047221 106.799502177458
"42" 91.76787979411 92.8300438852327 92.4199202056847
"43" 80.3193420563939 81.2229141227865 80.8387706794965
"44" 71.0998857203611 71.8685859600403 71.5146928369545
"45" 63.6754517341591 64.3302784648626 64.00765823068
"46" 57.6953048360496 58.2544541659511 57.9622467101858
"47" 52.8770166157008 53.3560468226134 53.0923551689819
"48" 48.9935429294723 49.405642456688 49.168055339564
"49" 45.862472188872 46.218756858341 46.0046692476128
"50" 43.3372476057876 43.6470499673863 43.4538565789957
"51" 41.3000765767442 41.5712106417225 41.3964191505162
"52" 39.6562353778927 39.8952307241777 39.736524024485
