"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 1.40227607547162 0.3 2.6 46.0850613467529 44018.5815695704 15902.4273890455
"2" 2 1.3915753519044 0.3 2.6 46.8537422584665 43550.8106590089 15628.7390377332
"3" 3 1.31263551756683 0.3 2.6 46.8402960394409 41249.4476683442 14434.42172222
"4" 4 1.26641758533431 0.3 2.6 46.9543388314957 40216.0970771811 13765.8594101111
"5" 5 1.19641379987433 0.3 2.6 46.8335208312055 40642.1215552553 13122.9284786982
"6" 6 1.14560699092146 0.3 2.6 46.2896802987573 40195.4252493907 12446.9066194019
"7" 7 1.08025447245758 0.3 2.6 46.4115967011361 39885.9079905791 11395.9039138298
"8" 8 1.07293833952251 0.3 2.6 46.2806150865338 39413.7944969496 11199.2036007535
"9" 9 1.02514161911018 0.3 2.6 46.093365063602 38873.8180758662 10208.0485265304
"10" 10 0.974440529289576 0.3 2.6 45.8918786670715 38905.707688102 9010.2512334508
"11" 11 0.935062504532261 0.3 2.6 44.9542566030182 39129.7449982082 7915.52062092345
"12" 12 0.893421144949604 0.3 2.6 44.8680608773721 37748.2420469253 6354.21066624464
"13" 13 0.800625008663305 0.3 2.6 44.4096210833949 37595.6415436084 2763.82149607538
"14" 14 0.752402266654839 0.3 2.6 45.3600721935614 37662.8322578261 1373.53043101478
"15" 15 0.733487193000643 0.3 2.6 44.7952606611288 37278.0710129221 1115.90665319559
"16" 16 0.719807707768364 0.3 2.6 44.4060262064632 36393.230039525 1043.74168324656
"17" 17 0.722618427219186 0.3 2.6 43.9666076947522 35384.1314084444 993.588897651773
"18" 18 0.724784015616974 0.3 2.6 43.8898452614027 35024.1300170009 980.023010022782
"19" 19 0.727204572682758 0.3 2.6 44.1225929878094 34024.6663710982 944.85720218852
"20" 20 0.727811766593205 0.3 2.6 44.0206611054885 33686.8613314229 936.547419427667
"21" 21 0.715075379717614 0.3 2.6 44.2728676718845 32699.3292847596 896.30196181096
"22" 22 0.718994063923105 0.3 2.6 44.2542946420174 32784.2419886075 888.745010916448
"23" 23 0.721667878854263 0.3 2.6 44.3244634474719 32748.0823647014 886.019492221365
"24" 24 0.719022149207296 0.3 2.6 45.4394345642896 32221.9017561725 857.932806157245
"25" 25 0.720152074659359 0.3 2.6 45.4815489646725 32259.7619975862 858.122658432179
"26" 26 0.720726999216633 0.3 2.6 45.5204628564293 32225.8695684807 856.768976253048
"27" 27 0.722325747677496 0.3 2.6 44.9988808543135 31631.7936505528 847.506061478218
"28" 28 0.719971599683154 0.3 2.6 44.9548950163463 30903.0770687601 828.012461432885
"29" 29 0.719407410915286 0.3 2.6 44.9938924550492 30833.421419728 825.822161417404
"30" 30 0.719618666168365 0.3 2.6 45.0465597053107 30730.8270488822 823.090322983155
"31" 31 0.721032228209408 0.3 2.6 45.3697562175005 30325.0711096218 813.025816611524
"32" 32 0.71266143533869 0.3 2.6 45.6684268991877 29347.907943588 801.340207177611
"33" 33 0.71735991099264 0.3 2.6 45.2180093606662 27920.4180846029 786.82964552019
"34" 34 0.716017555757296 0.3 2.6 45.236424386741 27831.354083784 786.151104547084
"35" 35 0.719290530505147 0.3 2.6 45.9937497650866 27813.8164883233 778.87606138797
"36" 36 0.715811393122271 0.3 2.6 45.9639917246006 27879.2520219034 776.538428881266
"37" 37 0.715350887157246 0.3 2.6 45.8556553810734 27825.8976362271 778.064963857409
"38" 38 0.71924475579959 0.3 2.6 46.187035430997 27975.998253497 776.475839829663
"39" 39 0.714999953157544 0.3 2.6 46.1567805948578 28112.5143126383 775.736842060122
"40" 40 0.71799018403802 0.3 2.6 46.5191660146215 28251.7525639313 771.535058804846
"41" 41 0.7188441684865 0.3 2.6 46.8621219022551 27668.9707296814 766.802910730606
"42" 42 0.719835316599006 0.3 2.6 46.8797339493838 27533.5947329716 768.861072314859
"43" 43 0.71745807179922 0.3 2.6 46.8753657577231 27573.9008588667 764.650174039157
"44" 44 0.71746348097177 0.3 2.6 46.8437675190713 27578.3716324341 765.0572423973
"45" 45 0.716964876500957 0.3 2.6 46.7476977341672 27668.1631597338 765.98772306351
"46" 46 0.714025506055779 0.3 2.6 46.8335692371455 27673.1552163795 766.336027862508
"47" 47 0.713216418973398 0.3 2.6 46.8395107408896 27735.5905093582 768.00594996359
"48" 48 0.716368700034462 0.3 2.6 47.2910267446318 28525.9325659777 763.903622565828
"49" 49 0.715535282199965 0.3 2.6 47.3927758938153 28522.822285502 763.304230564028
"50" 50 0.71683742655681 0.3 2.6 47.0512148556828 28057.0570468853 763.423710821034
"51" 51 0.715625155206249 0.3 2.6 47.0744501238725 28142.2164257744 763.923757218076
"52" 52 0.714967615658452 0.3 2.6 47.086252113703 28230.8952301671 765.035419597541
"53" 53 0.715341879406677 0.3 2.6 47.1151189152035 28232.1787676423 764.28853442462
"54" 54 0.716142138328236 0.3 2.6 47.3214166124586 27617.4873615429 758.508724814212
"55" 55 0.716108765439589 0.3 2.6 47.3574124060105 27490.387974085 757.856732991444
"56" 56 0.717185396423091 0.3 2.6 47.3671856019473 27563.8651149514 758.284638780583
"57" 57 0.716815157657654 0.3 2.6 47.3588270639476 27757.6520133867 758.539078207009
"58" 58 0.715522832427148 0.3 2.6 47.4652475213541 27634.9248328177 756.91883626918
"59" 59 0.716781027291412 0.3 2.6 47.4324216719041 27664.8510360566 757.402771615587
"60" 60 0.716517066392799 0.3 2.6 47.4764068249333 27664.063585477 756.776798184827
"61" 61 0.717027860494328 0.3 2.6 47.5247246633215 27629.9072725087 756.349282767736
"62" 62 0.71528023579529 0.3 2.6 47.5398228849286 27577.5181986625 755.976663150816
"63" 63 0.716121889300233 0.3 2.6 47.5544936306085 27609.2562896453 755.651789178493
"64" 64 0.715294376488336 0.3 2.6 47.6052982144833 27543.8556535296 755.091964223184
"65" 65 0.714853215402548 0.3 2.6 47.6423773758553 27641.4605973589 755.237468245419
"66" 66 0.717095634554056 0.3 2.6 48.2405887345893 27736.4044748462 748.246745523335
"67" 67 0.715398769361804 0.3 2.6 48.2400106323807 27618.4779375632 747.738111927644
"68" 68 0.716771630779021 0.3 2.6 48.2574790682534 27688.1497530275 747.731863152035
"69" 69 0.715292279520082 0.3 2.6 48.2787873810774 27651.7959245682 747.46595972835
"70" 70 0.717544940641314 0.3 2.6 48.3761638778252 27582.4517341664 746.68853498253
"71" 71 0.715754168240363 0.3 2.6 48.4164530775403 27735.0026980894 746.024467123601
"72" 72 0.716066043113607 0.3 2.6 48.4494684566182 27778.3473088304 745.773249329778
"73" 73 0.716972420158039 0.3 2.6 48.4982050604607 27718.0327651019 745.194380781385
"74" 74 0.71635558154636 0.3 2.6 48.4937193408708 27625.2009570094 744.719326055367
"75" 75 0.717635425149367 0.3 2.6 48.5065091621223 27831.3825338376 746.002851659426
"76" 76 0.716355307766039 0.3 2.6 48.4948839448873 27931.842640202 745.99984710111
"77" 77 0.71648261810597 0.3 2.6 48.4874718370895 27893.6693972083 745.888188593733
"78" 78 0.716034887208713 0.3 2.6 48.4949656457935 27735.1340265105 745.081739943931
