"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 0.775353593044606 0.3 2.6 400.004764260316 152822.881192855 15735.5161507948
"2" 2 0.78399381956515 0.3 2.6 404.119086131929 155162.199702869 15523.8815898422
"3" 3 0.798304428459206 0.3 2.6 410.000445622905 149807.87967991 15404.7266328645
"4" 4 0.792132889070693 0.3 2.6 410.728401314395 148950.642485069 15231.877373565
"5" 5 0.789309253645271 0.3 2.6 412.831058691905 150843.418236559 15107.2259846659
"6" 6 0.787670195448833 0.3 2.6 421.175014013588 145592.538296324 14673.8218083341
"7" 7 0.781584682129712 0.3 2.6 423.569830293989 145087.59054802 14535.9990434358
"8" 8 0.78495074725616 0.3 2.6 429.594062944161 151330.45055317 14328.4155588975
"9" 9 0.790062350674699 0.3 2.6 434.107941751059 148618.513362057 14146.8935824152
"10" 10 0.788593777392559 0.3 2.6 434.789584935793 149071.703883065 14105.1592890184
"11" 11 0.786805721930862 0.3 2.6 435.556701211849 148964.571431928 14055.6341627337
"12" 12 0.770908804794581 0.3 2.6 437.876708764436 144794.040719316 14012.1320087809
"13" 13 0.791925729241567 0.3 2.6 444.93840308416 145239.144957259 13687.2750971473
"14" 14 0.786669457443628 0.3 2.6 450.093199380442 140401.628743424 13389.6083481676
"15" 15 0.787712815526576 0.3 2.6 450.355501972573 140814.257705392 13388.6385254309
"16" 16 0.786340560812562 0.3 2.6 460.45626395508 143427.844755888 12979.2483669097
"17" 17 0.782886167748334 0.3 2.6 465.547432027373 140161.800661646 12744.5722676106
"18" 18 0.78463189054273 0.3 2.6 467.616347081913 140239.980587633 12669.0617005326
"19" 19 0.791132177422389 0.3 2.6 477.241983137997 145862.139552546 12409.0727258391
"20" 20 0.77621700471106 0.3 2.6 483.438101536876 152345.956513803 12282.5820939198
"21" 21 0.783372671409527 0.3 2.6 483.269575532476 151439.750311631 12228.133648178
"22" 22 0.779478253143674 0.3 2.6 484.338355787127 147608.494179688 12128.1932152489
"23" 23 0.770852112533396 0.3 2.6 489.261679681516 141090.033125974 11964.218513646
