"V1" "V2" "V3"
"1" 25.5562088826319 25.3109808850998 25.6166601539973
"2" 25.7006431162337 25.4549074020985 25.7611473889098
"3" 25.9170970665633 25.6704429182169 25.9776972790085
"4" 26.2414432168309 25.993177248361 26.3022119136718
"5" 26.7273733462326 26.4763406673723 26.7884314578511
"6" 27.4551896593609 27.199488276181 27.5167365402948
"7" 28.5448577565329 28.2813859971129 28.6072188841085
"8" 30.1752936686277 29.8990393591873 30.2389957673166
"9" 32.6126518514917 32.3155881477349 32.6785400356251
"10" 36.2513432259025 35.9207386198747 36.3207612713015
"11" 41.6724568568917 41.2883426164001 41.7475195196621
"12" 49.7246112946944 49.2561058743228 49.8086044284193
"13" 61.6305797243317 61.0308237128931 61.728522899737
"14" 79.1161171755293 78.3159077068729 79.2354974627358
"15" 104.5389469695 103.440157660278 104.69054486661
"16" 140.955217596681 139.427407745197 141.153730840571
"17" 191.985229610979 189.873270737762 192.248972124049
"18" 261.230122790089 258.387072596632 261.578419730018
"19" 350.904730945962 347.268446537041 351.351089752806
"20" 459.483238493746 455.204375448382 460.023138705489
"21" 578.843897139109 574.426896179012 579.440098624273
"22" 692.757045664278 689.097129437141 693.33282860792
"23" 779.532330054573 777.702499090681 779.986941710825
"24" 819.866163257461 820.660170653027 820.1144032173
"25" 805.97015095139 809.485818745376 805.98255629717
"26" 745.058519675775 750.661364264225 744.870742117919
"27" 654.512001457086 661.1904078133 654.198807092918
"28" 553.254589437437 560.055168781857 552.893389727906
"29" 455.523667173656 461.797157518318 455.171583502919
"30" 369.169122322084 374.595648797911 368.858172205026
"31" 296.924967181121 301.425051120062 296.667564289328
"32" 238.470371124471 242.100107967868 238.267066269154
"33" 192.092321530232 194.965951999457 191.937906313137
"34" 155.690302153749 157.935101528497 155.577560569568
"35" 127.267528927195 129.002097205658 127.18917606033
"36" 105.116617406096 106.442798033709 105.066133262628
"37" 87.852839666794 88.8544548681592 87.8247211059727
"38" 74.3837156791206 75.128205918556 74.3734590854031
"39" 63.8592571329168 64.4002435568204 63.8632368672786
"40" 55.622203081216 56.0020801006701 55.6375245355514
"41" 49.1651893376339 49.4174064060768 49.1895501169097
"42" 44.0962662370441 44.2472135101697 44.127837038348
"43" 40.1120325493952 40.1825509740564 40.1493595271671
"44" 36.9770308467336 36.983602697219 37.0189574148911
"45" 34.5080461293934 34.4637270352411 34.5536510289873
"46" 32.5621541822237 32.4773011943686 32.6107026578496
"47" 31.0276073691216 30.9104479953476 31.0785127161901
"48" 29.8168608033581 29.6739386062957 29.8696540523329
"49" 28.8612148828992 28.6977393042919 28.9155208507215
"50" 28.1066826959241 27.9268044324774 28.1622010229928
"51" 27.510789895027 27.317818229288 27.5672799941881
"52" 27.0400879700609 26.8366626917702 27.0973570545478
