"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 3.04406969216331 0.3 2.6 517.248939140491 19660.225421011 23377.5959131489
"2" 2 2.92529861658209 0.3 2.6 526.052860767051 20820.3084736014 23054.4527244714
"3" 3 3.0218438414753 0.3 2.6 537.678846364778 20747.3231677855 22492.8607832051
"4" 4 0.124028343440774 0.3 2.6 547.916037080948 21233.8657215251 18526.1755645908
"5" 5 0.126579104894377 0.3 2.6 548.885028970596 21749.8451851544 18474.9508806535
"6" 6 0.131675031042962 0.3 2.6 558.600814769692 22277.179216355 17971.1483247213
"7" 7 0.132231361044964 0.3 2.6 568.630483034542 22839.3874619642 17469.3166900828
"8" 8 0.132679862184036 0.3 2.6 581.294360808454 23553.7536617479 16861.1658360619
"9" 9 0.130277695434409 0.3 2.6 596.011945387439 22695.6892896877 16188.612275393
"10" 10 0.134235765807181 0.3 2.6 603.325309800029 22444.9957358699 15867.5626691691
"11" 11 0.13882187495277 0.3 2.6 618.833248177131 23542.464525049 15214.4904173555
"12" 12 0.134034414635585 0.3 2.6 621.045259583297 22832.5932739116 15124.3251099937
"13" 13 0.133091517172966 0.3 2.6 634.342719618792 23049.7804277691 14597.4867705389
"14" 14 0.133843904466884 0.3 2.6 642.963877210473 22154.2648163957 14269.492184064
"15" 15 0.135231623628972 0.3 2.6 648.405350685809 22820.8337399359 14067.8097725726
"16" 16 0.138438164066609 0.3 2.6 659.821490375759 23818.8461765144 13657.7651275549
"17" 17 0.141639265335601 0.3 2.6 665.180895191948 23771.728654416 13471.2408795852
"18" 18 0.145676286331634 0.3 2.6 687.120385190773 24577.2866479667 12745.9692429097
"19" 19 0.143989982137907 0.3 2.6 707.382373939293 23926.2789370814 12128.3375101914
"20" 20 0.141217849218694 0.3 2.6 713.805233631794 24617.1918403054 11942.5342186992
"21" 21 0.138146890732796 0.3 2.6 715.102389244449 24277.6626742199 11905.5772513882
"22" 22 0.139143264571705 0.3 2.6 734.109158578329 24082.3626644981 11385.4093370234
"23" 23 0.13122183185574 0.3 2.6 745.001739978159 24346.4235496643 11104.8143575472
"24" 24 0.127491303952839 0.3 2.6 759.50084826979 24250.0349332201 10750.328856369
"25" 25 0.12721705360697 0.3 2.6 762.919954488139 23745.5801555359 10669.8199207769
"26" 26 0.127016678374615 0.3 2.6 764.175239228769 23655.7396309126 10640.5524056905
"27" 27 0.127016678374615 0.3 2.6 764.175239228769 23655.7396309126 10640.5524056905
"28" 28 0.124307816598868 0.3 2.6 764.082618754246 24097.6058855576 10642.7060340913
"29" 29 0.124307816598868 0.3 2.6 764.082618754246 24097.6058855576 10642.7060340913
"30" 30 0.124307816598868 0.3 2.6 764.082618754246 24097.6058855576 10642.7060340913
"31" 31 0.124450888837084 0.3 2.6 764.178342116941 24132.2784915428 10640.4797347083
"32" 32 0.124450888837084 0.3 2.6 764.178342116941 24132.2784915428 10640.4797347083
"33" 33 0.124450888837084 0.3 2.6 764.178342116941 24132.2784915428 10640.4797347083
"34" 34 0.124450888837084 0.3 2.6 764.178342116941 24132.2784915428 10640.4797347083
"35" 35 0.124673514947683 0.3 2.6 764.200947023478 24173.7031782561 10639.9541683459
"36" 36 0.124673514947683 0.3 2.6 764.200947023478 24173.7031782561 10639.9541683459
"37" 37 0.124673514947683 0.3 2.6 764.200947023478 24173.7031782561 10639.9541683459
"38" 38 0.124673514947683 0.3 2.6 764.200947023478 24173.7031782561 10639.9541683459
"39" 39 0.124673514947683 0.3 2.6 764.200947023478 24173.7031782561 10639.9541683459
"40" 40 0.124544021596744 0.3 2.6 764.149503877097 24184.231648396 10641.1503770095
"41" 41 0.124544021596744 0.3 2.6 764.149503877097 24184.231648396 10641.1503770095
"42" 42 0.124544021596744 0.3 2.6 764.149503877097 24184.231648396 10641.1503770095
"43" 43 0.124544021596744 0.3 2.6 764.149503877097 24184.231648396 10641.1503770095
"44" 44 0.124319580586514 0.3 2.6 764.185629209879 24123.5270487269 10640.3102619168
"45" 45 0.124319580586514 0.3 2.6 764.185629209879 24123.5270487269 10640.3102619168
"46" 46 0.124319580586514 0.3 2.6 764.185629209879 24123.5270487269 10640.3102619168
"47" 47 0.124319580586514 0.3 2.6 764.185629209879 24123.5270487269 10640.3102619168
"48" 48 0.124372639593569 0.3 2.6 764.181075919579 24189.6797533954 10640.4161492804
"49" 49 0.124087131572107 0.3 2.6 764.248136610454 24225.3397349568 10638.8569522423
"50" 50 0.124087131572107 0.3 2.6 764.248136610454 24225.3397349568 10638.8569522423
"51" 51 0.124087131572107 0.3 2.6 764.248136610454 24225.3397349568 10638.8569522423
"52" 52 0.124087131572107 0.3 2.6 764.248136610454 24225.3397349568 10638.8569522423
"53" 53 0.124157494998704 0.3 2.6 764.200165572559 24202.9372778096 10639.9722320231
"54" 54 0.124157494998704 0.3 2.6 764.200165572559 24202.9372778096 10639.9722320231
"55" 55 0.124157494998704 0.3 2.6 764.200165572559 24202.9372778096 10639.9722320231
"56" 56 0.124152496722552 0.3 2.6 764.030570798838 24245.1046351006 10643.9169094996
"57" 57 0.124152496722552 0.3 2.6 764.030570798838 24245.1046351006 10643.9169094996
"58" 58 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"59" 59 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"60" 60 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"61" 61 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"62" 62 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"63" 63 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"64" 64 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"65" 65 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"66" 66 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"67" 67 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"68" 68 0.123599574803473 0.3 2.6 764.243145759085 24233.9687638489 10638.9728718862
"69" 69 0.123448120881087 0.3 2.6 764.248509344206 24341.0846900095 10638.848155442
"70" 70 0.123448120881087 0.3 2.6 764.248509344206 24341.0846900095 10638.848155442
"71" 71 0.123448120881087 0.3 2.6 764.248509344206 24341.0846900095 10638.848155442
"72" 72 0.123448120881087 0.3 2.6 764.248509344206 24341.0846900095 10638.848155442
"73" 73 0.123469589657976 0.3 2.6 764.224155519259 24379.7148242789 10639.4143260078
"74" 74 0.123077956436795 0.3 2.6 764.188134852187 24451.6972268889 10640.251743018
"75" 75 0.123077956436795 0.3 2.6 764.188134852187 24451.6972268889 10640.251743018
"76" 76 0.123077956436795 0.3 2.6 764.188134852187 24451.6972268889 10640.251743018
"77" 77 0.123077956436795 0.3 2.6 764.188134852187 24451.6972268889 10640.251743018
"78" 78 0.123077956436795 0.3 2.6 764.188134852187 24451.6972268889 10640.251743018
"79" 79 0.123077956436795 0.3 2.6 764.188134852187 24451.6972268889 10640.251743018
"80" 80 0.123295293925461 0.3 2.6 764.246106395766 24491.2333287029 10638.9039837205
"81" 81 0.123295293925461 0.3 2.6 764.246106395766 24491.2333287029 10638.9039837205
"82" 82 0.123295293925461 0.3 2.6 764.246106395766 24491.2333287029 10638.9039837205
"83" 83 0.123295293925461 0.3 2.6 764.246106395766 24491.2333287029 10638.9039837205
"84" 84 0.123295293925461 0.3 2.6 764.246106395766 24491.2333287029 10638.9039837205
