"V1" "V2" "V3"
"1" 478.855208434571 473.955565206182 483.142147827218
"2" 478.995612832139 474.095489613082 483.281695829318
"3" 479.204815178872 474.303829968166 483.489360408086
"4" 479.516507354599 474.614019469948 483.798371926976
"5" 479.980857699788 475.075806502505 484.258149080033
"6" 480.672540258178 475.763188599483 484.942157244826
"7" 481.702642275992 476.786170887 485.959547699166
"8" 483.236281072612 478.30815144858 487.472355648023
"9" 485.518574301338 480.571535283791 489.720820905461
"10" 488.912717233957 483.935269899047 493.060466303713
"11" 493.955351921495 488.929405199606 498.015948718324
"12" 501.436064165419 496.333412927689 505.358287571428
"13" 512.50927390764 507.286434596437 516.213452375566
"14" 528.846751662278 523.437669594373 532.210267317766
"15" 552.83453899515 547.140918603793 555.671344141177
"16" 587.802872534231 581.682782198621 589.836282174786
"17" 638.239882112802 631.497635140695 639.070324217895
"18" 709.860507270234 702.245863598668 708.93605654716
"19" 809.261827220728 800.495469412785 805.871833369249
"20" 942.706329053795 932.55997313667 936.038194258157
"21" 1113.46211515392 1101.92536244415 1102.77992368567
"22" 1317.46138588539 1304.99671746621 1302.45186769641
"23" 1538.38196280883 1526.17024753954 1519.61428243999
"24" 1745.62237241976 1735.55774137438 1724.86897667308
"25" 1899.93812141033 1894.11898537968 1879.96545315617
"26" 1967.81206354713 1967.61585245132 1951.48890270822
"27" 1937.05576416903 1942.39483780471 1926.2405727382
"28" 1821.91700091228 1831.2840699045 1816.9043006833
"29" 1653.97362881265 1665.20979089867 1653.79659221924
"30" 1467.05465536064 1478.20753873361 1470.2269165955
"31" 1286.57051451891 1296.34872109386 1291.7047436573
"32" 1126.64268499915 1134.43720393567 1132.72439994824
"33" 992.318849736005 998.009494368202 998.718258240426
"34" 883.163458696216 886.90188478312 889.538992923979
"35" 796.185996059649 798.237370718501 802.378188569442
"36" 727.638441597521 728.289643144604 733.590288006039
"37" 673.913703248184 673.429408690801 679.620408402952
"38" 631.898729880334 630.505401643139 637.379149741302
"39" 599.049458656493 596.933299630837 604.331079967763
"40" 573.345751753713 570.656596266487 578.457352205541
"41" 553.207121789369 550.064176798234 558.175514919088
"42" 537.405544946027 533.903133942239 542.254383680014
"43" 524.989064073452 521.201668605745 529.738622969597
"44" 515.219533190382 511.205959275824 519.886917854386
"45" 507.523667629651 503.33038585731 512.123180953382
"46" 501.455228080492 497.119010607964 505.998767326737
"47" 496.666030052496 492.216017986128 501.163460629866
"48" 492.883764751793 488.343085252601 497.343251017697
"49" 489.89501197322 485.282043599091 494.323301191145
"50" 487.532193084312 482.861557604382 491.934855322522
"51" 485.663514516042 480.946856162251 490.045143631748
"52" 484.185187221211 479.431786485812 488.549568500117
"53" 483.01538526945 478.232643563399 487.365634922794
