"V1" "V2" "V3"
"1" 1107.38254692321 1116.28465755812 1115.93482677895
"2" 1107.64141058607 1116.2978854475 1116.19379878671
"3" 1108.08455596071 1116.31230965696 1116.63717555355
"4" 1108.8431473639 1116.32803835838 1117.39624161236
"5" 1110.14166130735 1116.34518950035 1118.69570232933
"6" 1112.36418271791 1116.36389169105 1120.92007352022
"7" 1116.16763441518 1116.3842851606 1124.72708149284
"8" 1122.67483984926 1116.40652281018 1131.24103450586
"9" 1133.80275311538 1116.43077135568 1142.38160520088
"10" 1152.81770269421 1116.45721257418 1161.42004667557
"11" 1185.26652026149 1116.48604466278 1193.911988568
"12" 1240.51431432976 1116.51748371949 1249.23794265668
"13" 1334.21536244439 1116.55176535737 1343.07829509403
"14" 1492.08509485182 1116.58914646363 1501.19029738039
"15" 1755.09156531265 1116.62990711679 1764.60200518319
"16" 2184.99156668335 1116.67435267577 2195.13616806866
"17" 2865.59091119088 1116.72281605639 2876.61197969277
"18" 3887.44004984979 1116.77566021185 3899.37915131133
"19" 5294.26592228486 1116.83328083522 5306.4594304127
"20" 6978.4172807975 1116.89610930372 6988.80788010078
"21" 8582.62073761013 1116.96461588597 8587.72517596425
"22" 9574.28539625908 1117.03931323558 9571.0227368473
"23" 9576.79376628034 1117.12076019606 9565.3218872353
"24" 8667.0247911608 1117.20956594446 8651.18385313307
"25" 7276.16461780996 1117.30639450332 7260.71385482983
"26" 5845.278605393 1117.41196965299 5833.27034282411
"27" 4621.95996227844 1117.52708027912 4614.31832364582
"28" 3673.20333787835 1117.65258619292 3669.57198678336
"29" 2972.73341115242 1117.78942446489 2972.31285850218
"30" 2466.53550271608 1117.93861631609 2468.52514596665
"31" 2102.84917387293 1118.10127461434 2106.59747863648
"32" 1840.92899587334 1118.27861202681 1845.94865317929
"33" 1651.13015811358 1118.47194988408 1657.06939333256
"34" 1512.56359798015 1118.68272781537 1519.17148853179
"35" 1410.64854908814 1118.91251421873 1417.74611174779
"36" 1335.18669039704 1119.16301763499 1342.64550763736
"37" 1278.9896495826 1119.43609909915 1286.71681419219
"38" 1236.93919243108 1119.73378554774 1244.86688738796
"39" 1205.35227473336 1120.05828436658 1213.43057700013
"40" 1181.55193070973 1120.41199916822 1189.74381207872
"41" 1163.57501519847 1120.79754689443 1171.85283461783
"42" 1149.9708329473 1121.21777634439 1158.31384657391
"43" 1139.66054822984 1121.67578823515 1148.05312095486
"44" 1131.83771132077 1122.17495690597 1140.26801784313
"45" 1125.89698664446 1122.71895378383 1134.35605872221
"46" 1121.38250784925 1123.3117727317 1129.86352950198
"47" 1117.95008781904 1123.95775740569 1126.44787023211
"48" 1115.33933868672 1124.66163075024 1123.84992671227
"49" 1113.35296357752 1125.42852676281 1121.87333946659
"50" 1111.84129095362 1126.26402466003 1120.36915046037
"51" 1110.69067383747 1127.17418557615 1119.22425651881
"52" 1109.81475807064 1128.16559192071 1118.3527183686
