"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 2.5541844467832 0.3 2.6 1425.33981251267 169728.66400249 63985.8751117501
"2" 2 2.44320871942106 0.3 2.6 1425.46485060732 168685.545679811 58834.0728309453
"3" 3 2.40300019095675 0.3 2.6 1424.50274565758 166006.724806572 56545.1611136685
"4" 4 2.27518493786254 0.3 2.6 1400.17806597276 171464.662142322 50025.5237717859
"5" 5 2.13176178196792 0.3 2.6 1403.34652058203 169108.06271383 40046.8242622111
"6" 6 2.07760095256411 0.3 2.6 1412.67943550351 165178.460732736 35834.538026647
"7" 7 1.92465223142973 0.3 2.6 1400.65529750382 159572.738821104 24385.6994316294
"8" 8 1.7947499963851 0.3 2.6 1400.47794102014 162116.877022354 15664.9570647471
"9" 9 1.65823123041852 0.3 2.6 1373.29852987219 163064.995228521 10452.0367478165
"10" 10 1.62032005979903 0.3 2.6 1377.44450257956 157967.697164445 10134.6012691186
"11" 11 1.6210036678271 0.3 2.6 1378.10557705694 158167.203655266 10133.6205672999
"12" 12 1.62012479262378 0.3 2.6 1378.56999769558 158516.678078773 10132.0351793105
"13" 13 1.62012479262378 0.3 2.6 1378.56999769558 158516.678078773 10132.0351793105
"14" 14 1.62082531214869 0.3 2.6 1380.35269166637 158671.744372081 10128.8342425178
"15" 15 1.61946511934673 0.3 2.6 1380.94585927528 159002.884034495 10127.4838742389
"16" 16 1.61846501008407 0.3 2.6 1381.72138982233 158527.278702561 10125.5166037266
"17" 17 1.61764965205319 0.3 2.6 1383.06718611318 158212.269685678 10122.9775409101
"18" 18 1.62018616048212 0.3 2.6 1384.35134469764 158088.319973903 10120.3789706181
"19" 19 1.61808230015711 0.3 2.6 1402.06696769549 156259.961819735 10091.6014189839
"20" 20 1.61756008400734 0.3 2.6 1402.98596263182 156343.097680387 10090.2405294043
"21" 21 1.61661085094482 0.3 2.6 1401.50724128574 155984.75658313 10093.2972064015
"22" 22 1.61553902049774 0.3 2.6 1399.99262036508 155965.849467274 10096.4406443049
"23" 23 1.62114484069757 0.3 2.6 1410.18762170406 156974.554258324 10082.0039421201
"24" 24 1.61906601739938 0.3 2.6 1410.53586448482 156693.550628632 10080.3177737961
"25" 25 1.61814554777074 0.3 2.6 1411.63637646693 156334.372933456 10079.2613946259
"26" 26 1.62049502694124 0.3 2.6 1414.37628036066 156601.037836468 10077.1013365968
"27" 27 1.61801446309638 0.3 2.6 1422.71532757709 157233.62719608 10068.9940712686
"28" 28 1.61789911309582 0.3 2.6 1422.32736782462 157093.381171867 10069.1949141025
"29" 29 1.62103079770186 0.3 2.6 1423.91688064572 156626.60813579 10069.1982776487
"30" 30 1.61599601912055 0.3 2.6 1426.44173363216 156981.704468798 10067.7251006508
"31" 31 1.61822235921939 0.3 2.6 1427.23586476236 157278.117022676 10065.9970019464
"32" 32 1.62024489705603 0.3 2.6 1427.06710829288 156784.940347174 10066.266197486
"33" 33 1.61847473307219 0.3 2.6 1427.66151203648 157184.741113754 10065.5864665591
"34" 34 1.61949376959367 0.3 2.6 1428.45846390846 157960.219589509 10066.3618460089
"35" 35 1.61959284876899 0.3 2.6 1427.57468423429 157981.576506902 10066.8927282867
"36" 36 1.61602554310729 0.3 2.6 1428.70651987725 158157.677983691 10069.1289896308
"37" 37 1.61718950501946 0.3 2.6 1427.8045089677 157323.69785226 10066.262401563
"38" 38 1.61695467948021 0.3 2.6 1427.46737281657 156970.655463537 10066.1580794538
"39" 39 1.61734691338684 0.3 2.6 1428.15443279257 156749.398073461 10065.3078667599
"40" 40 1.61650077912781 0.3 2.6 1430.79534177638 156399.256877286 10064.2442101944
"41" 41 1.61879888432316 0.3 2.6 1430.39881388548 156225.567959805 10063.7647740693
"42" 42 1.62034858340958 0.3 2.6 1430.58624646607 156477.998810629 10064.3809124736
"43" 43 1.61715179352854 0.3 2.6 1431.45873152796 156150.775785043 10063.4384902783
"44" 44 1.61834722596456 0.3 2.6 1441.49242263297 157565.536855085 10061.3196581778
"45" 45 1.61808768949458 0.3 2.6 1442.41678173362 157051.283262726 10060.2379197823
"46" 46 1.61891142600316 0.3 2.6 1441.51744362615 157343.00624698 10060.7304624527
"47" 47 1.61700296173653 0.3 2.6 1440.09993967287 156869.820872727 10060.9352744866
"48" 48 1.61716296564911 0.3 2.6 1441.11608103468 157286.879711899 10061.4059083417
"49" 49 1.61852615856508 0.3 2.6 1453.21662155017 156734.487646146 10059.8682545128
"50" 50 1.61852615856508 0.3 2.6 1453.21662155017 156734.487646146 10059.8682545128
"51" 51 1.6208105746561 0.3 2.6 1453.81581978088 156046.061504457 10060.5501076025
"52" 52 1.61596868083132 0.3 2.6 1454.89041411985 155898.264069143 10060.5679455656
"53" 53 1.62055867232174 0.3 2.6 1454.55695195913 155496.782772232 10060.6584045792
