"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 2.36082062918293 0.3 2.6 528.92165639768 97298.7028306267 55397.7310401261
"2" 2 2.34312374529101 0.3 2.6 537.56960182943 96133.8228294685 54482.2447788707
"3" 3 2.21514430538688 0.3 2.6 537.705584925164 91164.5223236468 52572.2660050066
"4" 4 2.1471161644629 0.3 2.6 541.830728340712 89346.9603444774 51483.0157247476
"5" 5 2.14828849269437 0.3 2.6 540.832078521096 86409.5405855358 50863.6340198182
"6" 6 2.08472882192242 0.3 2.6 540.68840175297 82441.2179030191 49555.6520936421
"7" 7 2.08395597805519 0.3 2.6 540.687934966115 82124.4511123683 49478.5758064467
"8" 8 2.09407634254418 0.3 2.6 541.54244839493 78727.4150196567 48721.6769296913
"9" 9 2.00554651621176 0.3 2.6 542.263810711203 76930.5939734174 47693.1560885013
"10" 10 1.9933921822245 0.3 2.6 535.348755465441 73412.5183250665 47253.6727594678
"11" 11 1.95186465210614 0.3 2.6 533.039850693144 72702.7562549981 46941.6144870433
"12" 12 1.91076459591807 0.3 2.6 533.213760440771 66134.5132467124 45255.6189042994
"13" 13 1.83049135205675 0.3 2.6 548.235149819112 66264.4221498143 43761.4472275951
"14" 14 1.77581647679303 0.3 2.6 553.098277407886 64236.3417040355 42610.344077823
"15" 15 1.73594459255948 0.3 2.6 559.070190772792 63114.1246132664 41693.7766053749
"16" 16 1.72109147734255 0.3 2.6 558.227762996345 60035.2213495095 41033.2575476611
"17" 17 1.66295006729249 0.3 2.6 559.766710914968 59915.020832783 40327.3815797752
"18" 18 1.52090075256214 0.3 2.6 558.76344458695 57002.0217144395 38108.8638568307
"19" 19 1.43118296200617 0.3 2.6 567.606772781572 56219.9755348687 36095.5091721978
"20" 20 1.40862251492034 0.3 2.6 568.281662967242 56078.4357094413 35625.7800757316
"21" 21 1.37105747774121 0.3 2.6 569.688811784388 54017.7351269827 34595.7210517773
"22" 22 1.28714531913406 0.3 2.6 570.176611465433 54341.4071665919 32643.9647217877
"23" 23 1.2230048205743 0.3 2.6 564.84354102706 58575.6830655968 31140.4521994791
"24" 24 1.19526034231322 0.3 2.6 566.113655223073 59252.9464049096 30073.243142489
"25" 25 1.12263276163209 0.3 2.6 557.973242848728 56003.2335380173 27173.5277328619
"26" 26 1.05236832693339 0.3 2.6 574.147808145662 55422.7865361475 22685.2813018898
"27" 27 1.02560950604108 0.3 2.6 582.73830302655 57909.7982687852 20411.8070343753
"28" 28 0.995775211892505 0.3 2.6 588.159010753786 57143.661985895 18258.2089170817
"29" 29 0.973085492029661 0.3 2.6 599.375270016151 59624.5285693551 15977.7419651783
"30" 30 0.963646110463461 0.3 2.6 599.943803855442 60075.6266768434 15198.3792378936
"31" 31 0.928853015104746 0.3 2.6 605.834101500473 60170.2406280239 12551.5639392771
"32" 32 0.885395417701126 0.3 2.6 605.280094725301 61354.288050434 9659.22733053819
"33" 33 0.864000093128816 0.3 2.6 607.446910816484 60635.560653048 8826.76107024006
"34" 34 0.837835497183951 0.3 2.6 611.96633391915 59727.6768587607 8353.56863103126
"35" 35 0.828501626378634 0.3 2.6 611.266833358041 60774.9435960397 8168.40305710813
"36" 36 0.825377344641275 0.3 2.6 615.976801167468 61615.9379153756 7990.21967740762
"37" 37 0.836542372847533 0.3 2.6 614.157471224325 67543.5433703205 7042.3815737373
"38" 38 0.825190405909276 0.3 2.6 618.293150976396 69915.7900436672 6775.30208503792
"39" 39 0.838072847493291 0.3 2.6 631.972285870881 73223.7883312049 6100.89838545804
"40" 40 0.833285102235277 0.3 2.6 627.647764984331 74394.8040314951 6029.87726792796
"41" 41 0.832131311919248 0.3 2.6 628.647095727585 75012.3238293484 5964.20366451378
"42" 42 0.839509366142944 0.3 2.6 626.745736812635 77878.573827302 5617.18984856342
"43" 43 0.837052865219977 0.3 2.6 634.576385896315 80993.6115519303 5259.73285421387
"44" 44 0.832865676608563 0.3 2.6 644.123467464894 82383.0085078875 5124.53372931195
"45" 45 0.853226158086865 0.3 2.6 650.118402978331 83321.5862441127 4992.18237272532
"46" 46 0.839992120702138 0.3 2.6 647.681708663107 85697.0927912299 4752.16073031148
"47" 47 0.844601369686787 0.3 2.6 646.812232718287 85970.4002769197 4719.18626706754
"48" 48 0.837003536438524 0.3 2.6 647.605324177906 87855.3878733554 4624.99232354525
"49" 49 0.842801051928444 0.3 2.6 654.308943123501 90642.1243549978 4349.87710811256
"50" 50 0.85753505080252 0.3 2.6 647.583182806012 93991.2846861542 4232.61410932446
"51" 51 0.856168846293044 0.3 2.6 648.145566756689 93965.0837000953 4212.40076464793
"52" 52 0.851811507168785 0.3 2.6 648.650906079992 94283.8435508605 4146.90047794826
"53" 53 0.846592362225501 0.3 2.6 649.769338415712 94728.2581287742 4104.65810598477
"54" 54 0.839346612815679 0.3 2.6 645.018196095771 100566.189373079 3917.663553074
"55" 55 0.854026264770927 0.3 2.6 644.695333293671 105391.497342854 3628.93048005107
"56" 56 0.854966183517434 0.3 2.6 640.078031216019 107740.574737955 3562.38820795337
"57" 57 0.856213607571467 0.3 2.6 646.200978182806 109124.806544283 3511.9129365269
"58" 58 0.856469258616646 0.3 2.6 646.762791969661 109406.543180022 3504.05283634711
"59" 59 0.852904945015252 0.3 2.6 646.159514406233 109958.350951853 3479.18131230393
"60" 60 0.855572539956139 0.3 2.6 645.618233708518 110435.67627364 3472.54671244528
"61" 61 0.853460556190969 0.3 2.6 644.954413437766 110512.265217926 3466.95094196873
"62" 62 0.850452296174073 0.3 2.6 633.242119183765 113978.866307687 3422.83234365837
"63" 63 0.85403112271143 0.3 2.6 633.422621112971 114020.155981577 3407.98191678161
"64" 64 0.85140161336385 0.3 2.6 631.337381013881 118657.611509989 3351.49387162394
"65" 65 0.853227328869551 0.3 2.6 631.746292020132 118439.927104651 3341.8131621917
"66" 66 0.85310727438612 0.3 2.6 629.903553320943 121148.772665892 3319.80154202172
"67" 67 0.856101321786183 0.3 2.6 630.455839226919 120930.283930257 3310.73542617725
"68" 68 0.856101321786183 0.3 2.6 630.455839226919 120930.283930257 3310.73542617725
"69" 69 0.855927305094837 0.3 2.6 636.444949561516 123088.927180839 3290.4902410066
"70" 70 0.856932421275125 0.3 2.6 636.364982458304 123765.244422126 3286.70878807249
"71" 71 0.858623670270016 0.3 2.6 636.938397170304 124102.812346673 3286.9242978531
"72" 72 0.856576922682426 0.3 2.6 637.400154028675 124411.347578721 3284.52892152265
"73" 73 0.857657905715301 0.3 2.6 636.800537624043 124291.483376744 3284.79199270516
"74" 74 0.857657905715301 0.3 2.6 636.800537624043 124291.483376744 3284.79199270516
"75" 75 0.857576536209082 0.3 2.6 637.226892398345 123994.131955673 3285.45911468127
"76" 76 0.857986755846809 0.3 2.6 640.803500877419 125721.961540499 3281.15456422464
"77" 77 0.857986755846809 0.3 2.6 640.803500877419 125721.961540499 3281.15456422464
"78" 78 0.857442253589874 0.3 2.6 640.319027854196 125494.146507131 3281.25841701262
"79" 79 0.857655680999441 0.3 2.6 639.969842625738 125116.497312241 3281.67065910559
"80" 80 0.856796114343797 0.3 2.6 640.223662170026 124444.90181249 3282.96092642565
"81" 81 0.856504225769207 0.3 2.6 639.46246853225 124513.405411557 3283.48772335456
"82" 82 0.856708504323204 0.3 2.6 638.882978448149 124552.17032519 3283.3714966989
"83" 83 0.857155982328029 0.3 2.6 639.272120018081 124302.584922088 3283.42780176356
"84" 84 0.858172093559875 0.3 2.6 643.54886739658 126673.553315935 3281.73631149392
"85" 85 0.859663601261978 0.3 2.6 642.796905993311 126673.955200598 3284.44433726636
"86" 86 0.858258130192164 0.3 2.6 643.173116765516 127126.569042607 3282.57102079709
"87" 87 0.857340690538882 0.3 2.6 642.883162758721 126989.05998845 3282.60209293465
"88" 88 0.858255308491159 0.3 2.6 642.358130099536 127376.039112401 3283.06105327258
"89" 89 0.856969261971207 0.3 2.6 642.487588614144 126918.122346192 3282.98552797639
"90" 90 0.857714820911511 0.3 2.6 642.921704707283 126646.965655145 3281.61972730146
"91" 91 0.857714820911511 0.3 2.6 642.921704707283 126646.965655145 3281.61972730146
"92" 92 0.857246157804451 0.3 2.6 637.472813525838 126041.382995064 3282.11349380241
"93" 93 0.857527264121425 0.3 2.6 641.631227452486 127532.976613955 3283.75468955462
"94" 94 0.858982823934318 0.3 2.6 642.506473666682 126821.4027802 3282.8249412525
"95" 95 0.857222991361422 0.3 2.6 642.337162130268 126856.204186513 3282.41930515404
"96" 96 0.858120836609115 0.3 2.6 642.314847904509 126263.108298416 3281.20383892765
"97" 97 0.858364150934733 0.3 2.6 642.516304991903 126052.427822564 3281.30508056844
"98" 98 0.856851540135769 0.3 2.6 638.836048005593 125565.476994459 3282.14904272264
"99" 99 0.856851540135769 0.3 2.6 638.836048005593 125565.476994459 3282.14904272264
"100" 100 0.857709706367062 0.3 2.6 639.390991724661 125415.544107699 3281.53685382986
"101" 101 0.857587870742917 0.3 2.6 639.584360271235 125394.485850854 3281.48496457975
"102" 102 0.858191202260136 0.3 2.6 639.632168970701 125196.556796883 3282.06533635891
"103" 103 0.856033726398148 0.3 2.6 640.348959596294 125289.986041651 3283.51677083258
"104" 104 0.857037075931711 0.3 2.6 640.604738983541 125102.376154926 3281.69191333914
"105" 105 0.858297848396492 0.3 2.6 643.099128704194 127253.14708669 3282.86605364144
"106" 106 0.858297848396492 0.3 2.6 643.099128704194 127253.14708669 3282.86605364144
"107" 107 0.857089645505873 0.3 2.6 643.68199417819 126945.608470376 3282.94654078709
"108" 108 0.858230613075309 0.3 2.6 643.790162786837 127205.250588556 3282.83240278466
"109" 109 0.858019602754205 0.3 2.6 649.568070822056 125586.065104333 3281.82890870931
"110" 110 0.858660450563209 0.3 2.6 649.833780391583 125840.339471014 3282.88300193071
"111" 111 0.858214737355622 0.3 2.6 650.534291448263 126065.648683096 3282.7566042995
"112" 112 0.858666238976999 0.3 2.6 650.695857453727 125671.56298083 3283.13991746628
"113" 113 0.856105999683298 0.3 2.6 649.563278645722 125247.705298222 3283.35287559894
"114" 114 0.858167717863054 0.3 2.6 649.074651448264 125907.911545416 3281.99960247294
"115" 115 0.857453633728074 0.3 2.6 648.696131527625 125852.63057739 3281.65783326187
"116" 116 0.85708351121417 0.3 2.6 647.06380010077 125749.415596966 3281.43358054883
"117" 117 0.856866998712278 0.3 2.6 646.238280929728 125741.034986781 3281.56394523278
"118" 118 0.856866998712278 0.3 2.6 646.238280929728 125741.034986781 3281.56394523278
"119" 119 0.858711089962797 0.3 2.6 645.566248062615 125219.491851962 3282.21653172166
"120" 120 0.858715030846063 0.3 2.6 646.968020284958 124688.994614482 3283.02935408595
"121" 121 0.858644594568537 0.3 2.6 646.760914950499 124671.484910784 3282.87567926591
"122" 122 0.858115954088197 0.3 2.6 645.607427216326 124358.801928378 3282.44472128416
"123" 123 0.856353546832637 0.3 2.6 645.074710438079 124152.432385729 3282.93356329816
"124" 124 0.857879172658832 0.3 2.6 644.95872630246 124599.117393333 3281.71818466675
"125" 125 0.856408798087319 0.3 2.6 644.284963811395 124612.53105838 3282.31317136616
"126" 126 0.856788452728502 0.3 2.6 643.000708121475 124306.31777473 3282.44906331706
"127" 127 0.857772381057596 0.3 2.6 642.127639494582 124180.504142611 3282.9855394833
"128" 128 0.859156060056027 0.3 2.6 642.047697997946 124708.640245596 3284.57460970415
"129" 129 0.85749171689877 0.3 2.6 643.047984260297 124625.053248447 3281.64910849792
"130" 130 0.85749171689877 0.3 2.6 643.047984260297 124625.053248447 3281.64910849792
"131" 131 0.856648998580736 0.3 2.6 643.088403793176 125261.14629708 3281.65588891594
"132" 132 0.856648998580736 0.3 2.6 643.088403793176 125261.14629708 3281.65588891594
"133" 133 0.858453038386993 0.3 2.6 643.305559552025 124873.691650827 3282.22197724703
"134" 134 0.85762696556962 0.3 2.6 642.704700071339 125015.502088082 3281.19710527301
"135" 135 0.857807427745487 0.3 2.6 643.11214841718 124807.455242606 3281.50473139961
"136" 136 0.857562521925223 0.3 2.6 642.462427245222 125050.582398039 3281.18021285725
"137" 137 0.857623619403938 0.3 2.6 642.454904840533 125403.550723234 3280.92191040449
"138" 138 0.855271196373031 0.3 2.6 642.663776090341 124970.458396169 3285.67524916609
"139" 139 0.857501689399125 0.3 2.6 642.194687106066 124743.670060528 3281.61642040665
"140" 140 0.857501689399125 0.3 2.6 642.194687106066 124743.670060528 3281.61642040665
"141" 141 0.8580004491485 0.3 2.6 643.693017635604 124641.3087048 3281.88926829866
"142" 142 0.857928571628739 0.3 2.6 644.103995349949 124814.948892864 3281.48714427189
"143" 143 0.85722612676147 0.3 2.6 644.917433791771 124875.737511342 3281.15939947717
"144" 144 0.85722612676147 0.3 2.6 644.917433791771 124875.737511342 3281.15939947717
"145" 145 0.857992371153935 0.3 2.6 644.433443794165 126846.744991835 3282.10690802863
"146" 146 0.85737559851975 0.3 2.6 645.306852504408 126059.990998919 3281.21435396467
"147" 147 0.857825132666899 0.3 2.6 645.97231094632 126061.678216053 3281.19473420088
"148" 148 0.857825132666899 0.3 2.6 645.97231094632 126061.678216053 3281.19473420088
"149" 149 0.858315170851652 0.3 2.6 647.34126066172 125334.425232002 3281.61183969576
"150" 150 0.858152458420639 0.3 2.6 648.826139327596 125921.490074145 3281.91836310115
"151" 151 0.859113862656782 0.3 2.6 649.078264550182 125762.449286989 3283.62333154727
