"V1" "V2" "V3"
"1" 820.436510663983 806.785599740812 806.5288990735
"2" 820.659968988105 807.001381216266 806.742755096607
"3" 821.029064975976 807.354864322129 807.092347374532
"4" 821.638657711521 807.933870572029 807.66377718406
"5" 822.645288762912 808.882141535082 808.597675805015
"6" 824.307114110646 810.434795008024 810.123595219014
"7" 827.049380961807 812.976008665843 812.61584678814
"8" 831.571262025499 817.132439010822 816.683760689103
"9" 839.018731753165 823.923372084882 823.316508969117
"10" 851.260405230527 834.999007913605 834.112616169751
"11" 871.317095854582 853.010483349242 851.636087903172
"12" 904.002287091322 882.162898495845 879.948940280087
"13" 956.800807353942 928.984901883657 925.354703200786
"14" 1040.8706838311 1003.24979062451 997.298068115906
"15" 1171.63454014944 1118.6803038789 1109.08789523273
"16" 1367.48690550364 1292.35870789587 1277.45127814567
"17" 1643.68355009066 1540.54125319549 1518.7656532925
"18" 1997.98959903728 1867.65514386275 1838.83666175728
"19" 2389.94696350916 2247.98288042049 2215.30802970387
"20" 2731.08578712628 2610.85742676546 2582.08755824227
"21" 2914.42850071569 2854.32457135467 2839.47498786492
"22" 2880.55014898641 2899.09462501969 2904.38711714756
"23" 2659.27839763594 2742.70600256613 2766.22580930156
"24" 2340.4440595962 2455.97700764425 2489.78262084078
"25" 2011.88009863558 2129.25824575357 2164.95715290972
"26" 1724.85598561876 1826.71616953196 1858.95559415352
"27" 1495.83984175545 1576.42093077771 1603.0946424175
"28" 1321.76012609435 1381.8335314417 1402.85390410933
"29" 1192.51089317861 1235.35379924242 1251.49900672726
"30" 1097.39513506171 1126.66373815437 1138.91237944172
"31" 1027.45135924797 1046.34628302457 1055.59234474531
"32" 975.843780921108 986.911315775797 993.881011058307
"33" 937.568965337475 942.750098992159 948.003301475047
"34" 909.02370626694 909.771512823384 913.730009704532
"35" 887.621567642401 885.017946900061 887.996878223337
"36" 871.499385435067 866.350755899814 868.585452969547
"37" 859.305854851867 852.215871849441 853.882658038653
"38" 850.053029458665 841.476077320038 842.707732574356
"39" 843.012786972075 833.2928569871 834.189923040581
"40" 837.644493200633 827.043402467242 827.682413748726
"41" 833.544092616391 822.262056361732 822.701549141648
"42" 830.407923530156 818.598661809754 818.883588925433
"43" 828.006720852406 815.788644481096 815.953644102984
"44" 826.166739240209 813.631302031906 813.703137655406
"45" 824.755911402846 811.973895210164 811.973291101495
"46" 823.673609979035 810.699886798717 810.642918274803
"47" 822.843018201148 809.720179615742 809.619332444416
"48" 822.205409037033 808.966545928196 808.831527655812
"49" 821.715833380512 808.386673323349 808.225037179422
"50" 821.339856747913 807.940412735835 807.758039001865
"51" 821.051081316714 807.596926724972 807.398395107297
"52" 820.829259357864 807.332515795493 807.12139407323
