"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 2.35954186297073 0.3 2.6 321.525489706599 39950.5921507306 82767.4694649322
"2" 2 2.34199302408633 0.3 2.6 325.589040996033 41913.1131112108 82393.0955340783
"3" 3 2.30532820604517 0.3 2.6 332.296712845794 42668.360035972 81292.7261948799
"4" 4 2.21076603206869 0.3 2.6 344.045862341282 42473.4980651549 78982.7736414873
"5" 5 2.1267156113152 0.3 2.6 350.851969248435 40714.4241800051 77215.4807194787
"6" 6 2.05097277064063 0.3 2.6 354.902881076552 40486.5449992726 76152.5667067057
"7" 7 1.96838702858752 0.3 2.6 363.712715160228 40328.0720353581 74358.3469672696
"8" 8 1.92490659555246 0.3 2.6 367.720164014053 40141.9967986855 73479.5472555615
"9" 9 1.88316146847294 0.3 2.6 371.270397092888 40039.9153742799 72680.1240511453
"10" 10 1.87417752893011 0.3 2.6 375.760731630226 39869.562060655 71994.1251242875
"11" 11 1.80704742784642 0.3 2.6 390.34537425621 38443.9119785535 69416.0238337313
"12" 12 1.7206080423324 0.3 2.6 392.902719556325 37297.8223782829 68228.8800247845
"13" 13 1.69453487384635 0.3 2.6 393.032286369022 36833.8490327483 67925.1629837782
"14" 14 1.63791794201876 0.3 2.6 406.583255136345 38405.6715475117 65951.2213003235
"15" 15 1.63735713546847 0.3 2.6 406.559542323107 38373.601508057 65944.9120241077
"16" 16 1.61380824321191 0.3 2.6 407.191931497618 38579.3579128946 65652.3920682541
"17" 17 1.51050102069205 0.3 2.6 406.90661298199 38679.7843687491 64535.1708161967
"18" 18 1.43143100032469 0.3 2.6 410.071382709435 39572.2382449888 63248.9794162969
"19" 19 1.39095313425064 0.3 2.6 413.850867010234 39344.8822461481 62278.3190194724
"20" 20 1.28939229493608 0.3 2.6 410.168347435745 40255.6168909687 61204.7728031456
"21" 21 1.28568559965328 0.3 2.6 413.891492039949 41150.1532373013 60780.7825600464
"22" 22 1.2474276922689 0.3 2.6 419.225403440922 42807.0740238793 59628.8743002414
"23" 23 1.17781833154666 0.3 2.6 426.476505410288 42990.9535702445 57564.3997074476
