"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 1.83954798069889 0.3 2.6 392.981471214584 185670.335578821 56564.6386567622
"2" 2 1.88429345720359 0.3 2.6 390.359268717661 175318.399086563 54465.5186231716
"3" 3 1.88607433238038 0.3 2.6 391.433219583087 173601.343902761 53992.8739490519
"4" 4 1.954518860436 0.3 2.6 398.414704601642 164309.471167268 51932.6489884138
"5" 5 1.85301790736178 0.3 2.6 398.294835900786 156421.680785034 48949.0694568395
"6" 6 1.89164487294274 0.3 2.6 405.035602702996 148788.240824528 47090.2927711319
"7" 7 1.86223764185868 0.3 2.6 405.765578835691 145402.13006441 45928.0913969815
"8" 8 1.73876938861005 0.3 2.6 408.768769916818 141280.849145235 43526.6755615422
"9" 9 1.67807773977338 0.3 2.6 404.792831300474 133368.451176906 41023.7631128286
"10" 10 1.63609371474769 0.3 2.6 405.49022314022 130808.2938452 39853.1510589437
"11" 11 1.62714285887347 0.3 2.6 405.51361887874 130248.10904294 39600.7354806456
"12" 12 1.59008777907675 0.3 2.6 405.508110128899 127022.119123308 38329.934111464
"13" 13 1.51332313581336 0.3 2.6 402.584583821578 125508.292948749 36896.3274003028
"14" 14 1.46589817474436 0.3 2.6 411.470658001016 129638.203922033 36677.7016699429
"15" 15 1.42682658746666 0.3 2.6 418.121051497325 130236.40713459 35814.8934600345
"16" 16 1.36611246290101 0.3 2.6 420.293202571698 123684.460306081 32962.85090879
"17" 17 1.32748701860127 0.3 2.6 420.937142850867 127360.425266021 32706.3527623293
"18" 18 1.30054115950944 0.3 2.6 424.564219590104 127604.949035409 31886.4127514629
"19" 19 1.248345075035 0.3 2.6 427.86969433258 128258.797425864 30237.0992222275
"20" 20 1.23416068707798 0.3 2.6 427.011356273215 128925.984040738 29868.5552928444
"21" 21 1.25067066175512 0.3 2.6 431.75023288209 124452.61355679 29506.3733253428
"22" 22 1.20604203097962 0.3 2.6 432.626346937324 126239.851634139 28175.0764338819
"23" 23 1.1166633192468 0.3 2.6 430.294958197767 122833.933338911 23552.4643795615
"24" 24 1.10769663866989 0.3 2.6 431.063370513855 123317.291476316 23139.5341755306
"25" 25 1.06465180715322 0.3 2.6 431.372626435964 129685.777791421 21554.5858671873
"26" 26 1.00155048692433 0.3 2.6 431.91380200011 130776.301052445 17356.5249103827
"27" 27 0.968802920190484 0.3 2.6 434.570729335919 136919.012919184 15555.5013173121
"28" 28 0.906512172065927 0.3 2.6 437.32337212208 136532.622188207 10568.5649334354
"29" 29 0.850286118641597 0.3 2.6 436.664167547513 128269.592206972 6053.1853087808
"30" 30 0.821755500190149 0.3 2.6 431.001642123648 128181.623852632 4807.95698283951
"31" 31 0.81454957049344 0.3 2.6 429.13388288924 123288.539837101 4248.77994234722
"32" 32 0.799703647551196 0.3 2.6 432.715207288473 118097.983303157 3688.9059100859
"33" 33 0.795503900583075 0.3 2.6 428.460233781523 117128.701270997 3601.99513243142
"34" 34 0.785272978583232 0.3 2.6 430.610988473482 112597.868599354 3371.60341874518
"35" 35 0.797405893436225 0.3 2.6 426.225135308843 108458.867346722 3051.09114348869
