"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 2.90041605987378 0.3 2.6 516.489635648834 259643.781604736 112520.769431803
"2" 2 2.79848427502449 0.3 2.6 513.380373036282 240023.962082889 106602.03579523
"3" 3 2.84914865337381 0.3 2.6 520.06422052018 231562.19758157 104065.61323049
"4" 4 3.03698749127824 0.3 2.6 528.125117801244 220965.899944262 101669.571230842
"5" 5 0.127022758578118 0.3 2.6 537.811411028089 224102.74192272 44633.115577889
"6" 6 0.128600574320611 0.3 2.6 549.843636559189 215667.571352001 43543.6547432353
"7" 7 0.133436587863987 0.3 2.6 556.043080997864 219337.682961805 42996.9165440703
"8" 8 0.133344795340598 0.3 2.6 572.853791568851 233055.575713515 41562.2552152891
"9" 9 0.130930589986973 0.3 2.6 587.357672385932 224565.349947313 40378.2719523028
"10" 10 0.134908496468884 0.3 2.6 594.564844544027 222084.831073263 39807.6607237473
"11" 11 0.140032483731638 0.3 2.6 605.956471316321 229840.267914006 38928.8793982784
"12" 12 0.134295317764525 0.3 2.6 611.892322101771 226503.352026255 38481.9001677876
"13" 13 0.133758513363411 0.3 2.6 625.131872227921 228068.949213304 37511.0087229272
"14" 14 0.134551980555266 0.3 2.6 633.628750869174 219060.939523506 36906.3229078998
"15" 15 0.136342852794797 0.3 2.6 639.032347803822 226110.898508506 36529.0471522507
"16" 16 0.141400457512178 0.3 2.6 649.103367276138 230095.994287309 35840.6149818833
"17" 17 0.142803147558141 0.3 2.6 655.565393960994 235532.451899171 35408.7515893714
"18" 18 0.143860935925767 0.3 2.6 673.179449970967 243056.871948481 34269.4108994989
"19" 19 0.145544390024587 0.3 2.6 697.233291900655 236887.243114082 32798.739814523
"20" 20 0.142742331236862 0.3 2.6 703.564000399766 243727.774117966 32427.2799059106
"21" 21 0.139638220985686 0.3 2.6 704.842545231017 240366.192974391 32353.026334806
"22" 22 0.141936747666539 0.3 2.6 710.63135820068 241396.031088039 32020.0047993953
"23" 23 0.141757733278508 0.3 2.6 711.020672753196 242037.491027857 31997.7937710248
"24" 24 0.141847198407384 0.3 2.6 714.361687040518 238384.863054178 31808.1358497151
"25" 25 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"26" 26 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"27" 27 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"28" 28 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"29" 29 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"30" 30 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"31" 31 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"32" 32 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"33" 33 0.141313139682422 0.3 2.6 714.545014530575 238037.015794149 31797.778344879
"34" 34 0.140945163675844 0.3 2.6 714.468493201392 237725.893223171 31802.1011352888
"35" 35 0.140945163675844 0.3 2.6 714.468493201392 237725.893223171 31802.1011352888
"36" 36 0.140378734437559 0.3 2.6 714.514652880236 238003.980209797 31799.4936227455
"37" 37 0.140378734437559 0.3 2.6 714.514652880236 238003.980209797 31799.4936227455
"38" 38 0.140378734437559 0.3 2.6 714.514652880236 238003.980209797 31799.4936227455
"39" 39 0.140378734437559 0.3 2.6 714.514652880236 238003.980209797 31799.4936227455
"40" 40 0.14431847428308 0.3 2.6 714.588522056398 239221.497242255 31795.3201262433
"41" 41 0.14431847428308 0.3 2.6 714.588522056398 239221.497242255 31795.3201262433
