"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 2.58769918459559 0.3 2.6 1127.56362070573 250177.383508626 91237.1658014131
"2" 2 2.65064281764048 0.3 2.6 1120.03985595286 236228.895841994 88709.5141046253
"3" 3 2.65314798156727 0.3 2.6 1123.1212936668 233915.287844873 88003.8435032992
"4" 4 2.74942916112763 0.3 2.6 1143.15294681598 221395.159620763 84781.2528154991
"5" 5 2.60664738198313 0.3 2.6 1142.80901307802 210766.931081509 80802.7711727992
"6" 6 2.66098408229538 0.3 2.6 1162.14998454505 200481.42138748 77886.0987493217
"7" 7 2.52810048588531 0.3 2.6 1164.69065492391 199655.544396792 76290.3614505516
"8" 8 2.42093325607452 0.3 2.6 1184.15781076825 192528.102918426 72525.5037571879
"9" 9 2.41420614553705 0.3 2.6 1182.87555055019 190828.130081027 72084.9510951704
"10" 10 2.4137073642421 0.3 2.6 1181.76861768414 190276.278105762 71990.6448735579
"11" 11 2.40050228525114 0.3 2.6 1181.83680268095 189461.422441094 71627.898430902
"12" 12 2.4152652326098 0.3 2.6 1190.85164974147 182736.981457631 69842.4775642293
"13" 13 2.29866351010903 0.3 2.6 1182.26615899745 180559.15583561 68139.0371030829
"14" 14 2.28555198827154 0.3 2.6 1219.43582116349 183756.277304244 67276.665420341
"15" 15 2.29287037398757 0.3 2.6 1219.82623968692 183286.719494378 67259.5856899913
"16" 16 2.1953044758455 0.3 2.6 1226.16327262892 174065.911988089 63414.2295421157
"17" 17 2.23245595076305 0.3 2.6 1235.69073127384 170299.530843168 62808.4111534026
"18" 18 2.19967811405041 0.3 2.6 1237.17779506863 166781.276611685 61458.7437584975
"19" 19 2.1652118200891 0.3 2.6 1255.76603659694 158586.892578034 58456.5065101205
"20" 20 2.09486147180018 0.3 2.6 1238.82887039399 155882.058041032 57268.3313413988
"21" 21 2.06714114635456 0.3 2.6 1253.40496170248 158210.84754544 56768.6706056108
"22" 22 2.01274390514819 0.3 2.6 1253.35111512053 160665.354584916 56235.9244966093
"23" 23 1.93149190383678 0.3 2.6 1234.95109381751 153002.28360296 53574.5668824051
"24" 24 1.89252202115357 0.3 2.6 1245.58820402698 156358.324767403 53010.6147364298
"25" 25 1.82144961668672 0.3 2.6 1244.95208106483 157951.885984033 51620.6171667493
"26" 26 1.76932630018855 0.3 2.6 1249.47294719458 155640.319170416 49702.843806716
"27" 27 1.68741269008591 0.3 2.6 1251.5057631268 156391.203898787 47525.5139293434
"28" 28 1.60130610193023 0.3 2.6 1263.25194406949 157246.850868465 44769.5738931211
"29" 29 1.34289825925753 0.3 2.6 1245.38326988201 164430.646315162 36984.4869491384
